name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,13902,2068,11834,14.875557473744786
Chisel,1168,72,1096,6.164383561643835
FS2,1678,122,1556,7.270560190703218
Gatling,2258,896,1362,39.681133746678476
Gitbucket,886,263,623,29.683972911963885
Http4s,1067,97,970,9.090909090909092
Lila,13156,6574,6582,49.969595621769535
Metals,2902,693,2209,23.880082701585113
SynapseML,870,5,865,0.5747126436781609
ZIO,5985,510,5475,8.521303258145362
