name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,125,47,78,37.6,6.638418079096045
CountNestedDepth,1,1,0,100.0,0.14124293785310735
CountNestedMethods,528,214,314,40.53030303030303,30.225988700564972
CountFunctions,1506,436,1070,28.950863213811424,61.5819209039548
IsFunction,352,101,251,28.693181818181817,14.26553672316384
CountFunctionParameters,313,97,216,30.990415335463258,13.700564971751412
CountHigherOrderCalls,1085,377,708,34.74654377880184,53.24858757062147
CountFunctionCalls,417,151,266,36.21103117505996,21.32768361581921
CountCurrying,117,65,52,55.55555555555556,9.180790960451978
CountPatternMatching,1122,393,729,35.02673796791444,55.50847457627118
CountLazyValues,169,73,96,43.19526627218935,10.310734463276836
CountParameterLists,278,87,191,31.294964028776977,12.288135593220339
FunctionalScoreCount,2109,555,1554,26.31578947368421,78.38983050847457
CountVariables,850,265,585,31.176470588235293,37.429378531073446
CountVariableDefinitions,315,112,203,35.55555555555556,15.819209039548024
CountInnerVariableAssignment,268,76,192,28.35820895522388,10.734463276836157
CountOuterVariableUsage,743,243,500,32.70524899057873,34.32203389830508
CountOuterVariableAssignment,589,214,375,36.33276740237691,30.225988700564972
CountSideEffects,1939,488,1451,25.16761217122228,68.92655367231639
IsSideEffect,1359,310,1049,22.810890360559235,43.78531073446328
CountSideEffectCalls,1653,460,1193,27.828191167574108,64.97175141242938
CountSideEffectFunctions,388,173,215,44.58762886597938,24.43502824858757
ImperativeScoreCount,1961,490,1471,24.98725140234574,69.2090395480226
HasPointsCount,2734,601,2133,21.982443306510607,84.88700564971752
ParadigmScoreCount,2244,478,1766,21.301247771836007,67.51412429378531
