name,count,mean,std
Average stretch,9,38.31183539170189,121.91167344629282
AvrParadigmEntropyBool,9,0.0545647833177002,0.1814878720684674
AvrParadigmEntropyCount,9,0.0420838642855224,0.1564372706438535
AvrParadigmEntropyFraction,9,0.0068262178411808,0.05916339758619
AvrParadigmGiniBool,9,0.3100589920357267,0.3983813745807383
AvrParadigmGiniCount,9,0.2981533017620634,0.39674245553824
AvrParadigmGiniFraction,9,0.3627622167009343,0.4462593000550738
Max stretch,9,38.31370631749001,121.9133229130096
MaxParadigmEntropyBool,9,0.1234511178256104,0.3194009404637912
MaxParadigmEntropyCount,9,0.097546956140355,0.2744352428661792
MaxParadigmEntropyFraction,9,0.0230276647702856,0.1470378634744127
MaxParadigmGiniBool,9,0.4145103409339839,0.4726606785594909
MaxParadigmGiniCount,9,0.4044689587398651,0.4735180595275913
MaxParadigmGiniFraction,9,0.4410863087405413,0.4942921491878746
Min stretch,9,38.31017770597738,121.91040865289212
SumParadigmEntropyBool,9,0.3907537212317045,1.5092862220855283
SumParadigmEntropyCount,9,0.2662953153465658,1.296321927915751
SumParadigmEntropyFraction,9,0.0292614450448549,0.2161611949392961
SumParadigmGiniBool,9,1.2955362839749915,3.9998078812139206
SumParadigmGiniCount,9,1.2332772669554852,3.9930677004781088
SumParadigmGiniFraction,9,1.6931895317529593,4.58022239906224
Switch count,9,2.3290111385086303,8.05165602192236
