name,count,mean,std
Average stretch,9,30.69436292492052,110.31488239446747
AvrParadigmEntropyBool,9,0.0579585652015546,0.1818213075304166
AvrParadigmEntropyCount,9,0.0489387190044089,0.1531801363232174
AvrParadigmEntropyFraction,9,0.0039188725242956,0.0574240607539175
AvrParadigmGiniBool,9,0.3153111948586355,0.4158515469908939
AvrParadigmGiniCount,9,0.3116865161538557,0.4154133406066623
AvrParadigmGiniFraction,9,0.3845396507687957,0.4558788115042706
Max stretch,9,30.698328267477205,110.3179597686287
MaxParadigmEntropyBool,9,0.1048305544953252,0.2956404331648908
MaxParadigmEntropyCount,9,0.0911604595084877,0.2696878155081698
MaxParadigmEntropyFraction,9,0.0100104576596068,0.0969918844635254
MaxParadigmGiniBool,9,0.389842961335736,0.4771072633502115
MaxParadigmGiniCount,9,0.3858975077478155,0.4774022233469556
MaxParadigmGiniFraction,9,0.4521276595744681,0.4961559512733609
Min stretch,9,30.69224924012158,110.31175156238754
SumParadigmEntropyBool,9,0.2026332387905762,1.2820865241492452
SumParadigmEntropyCount,9,0.1597545788410307,0.7305115139282461
SumParadigmEntropyFraction,9,0.014895539939528,0.170427582717632
SumParadigmGiniBool,9,1.1972861785163815,3.368613685756941
SumParadigmGiniCount,9,1.1444969980133417,3.3233575150329324
SumParadigmGiniFraction,9,1.6124920864627326,4.425704559801175
Switch count,9,1.68871935967984,6.332640979432705
