name,count,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
FunctionalScoreBool,8,30.411144314728794,19.7781926467178,65.63810961355888,11.051436426344969,0.2347738917370268,0.08742146713853113
HasCurrying,8,32.098558729386156,27.028923914429893,19.553417045740492,32.39371377635879,0.0795363569846009,0.08969969333826469
HasFunctionCalls,8,33.69289975795475,20.015441742497934,22.142484772120483,10.85189548980334,0.1338052156703406,0.07596336611563771
HasFunctionParameters,8,31.815168792902895,20.958776502140285,20.834102738949397,9.570982417616221,0.11528725068630574,0.042710840719506135
HasFunctions,8,29.093898448695093,20.72788173354308,65.90458419410095,10.70768147067334,0.20989209162131675,0.09200620439499116
HasHigherOrderCalls,8,31.20345734246278,20.93383863620707,61.48897054440072,10.347436310060992,0.2285671229929793,0.08442293867772596
HasInnerVariableAssignment,8,40.313904436359294,21.24028689958982,13.910395708461682,9.066687867329378,0.13880429077050385,0.09010453893853537
HasLazyValues,8,47.532753495555475,23.8863839119006,15.126674124620866,14.187735786660527,0.16551718558937722,0.1290679432078305
HasMultipleParameterLists,8,32.26797043335875,22.767493777064658,38.98649001739081,20.649233608548283,0.16806098884039017,0.06594726954902894
HasNestedMethods,8,44.06327577078139,25.433199786501653,27.85274354703369,12.707330140190138,0.21724787794028844,0.05726046516205322
HasOuterVariableAssignment,8,33.256162320461314,21.092341256622362,38.464898316818136,38.03794779164487,0.10539414708516733,0.14389977619326416
HasOuterVariableUsage,8,37.41764205471794,18.28296650005623,25.59812351250917,15.140343853404362,0.13058417562696606,0.12595280143750343
HasPatternMatching,8,35.191465453736704,23.495452273299502,55.547952369147,11.62815441776467,0.25882171554585803,0.07873820079452783
HasPointsBool,8,25.768046652695467,20.741525492288368,86.6039021456693,6.825062330140907,0.2018696115568997,0.09269131913131722
HasSideEffectCalls,8,35.24317453404054,19.500972023110773,44.85336650106069,20.725185446216766,0.22181973003418998,0.10483447949930919
HasSideEffectFunctions,8,45.663688630044504,18.930445200854813,16.394668139001777,11.698198338317345,0.17660576772653402,0.08200150796856956
HasSideEffects,8,32.43658485289228,19.1464546889845,52.26678620553501,21.492106983248892,0.21411395482847678,0.07710066693121025
HasVariableDefinitions,8,42.460300346922736,20.69637505510724,12.764295152412473,8.097827878555005,0.14018566601353372,0.0894025652229403
HasVariables,8,39.2556921257111,18.373809055795178,24.548905492036422,12.57379152786252,0.18137663689478176,0.10702825301212496
ImperativeScoreBool,8,33.401398544640294,18.73766383071322,46.498933076035534,16.007952608376048,0.2125772575912106,0.08042802405168363
IsFunction,8,27.41153988297734,22.494300330530777,23.113957264352635,31.44251772725316,0.05070904415649453,0.061283544155551574
IsNested,8,13.982402448355012,35.00322528687643,11.289254725513944,31.851002863415022,0.0037088884633387498,0.009993545628017561
IsRecursive,8,43.09273353681055,22.776624803123802,19.91233883571679,33.716964970189096,0.10611804613948708,0.08399524462482304
IsSideEffect,8,28.414672750923252,19.598050744682492,33.93906807038429,17.18221019562927,0.10741513149602981,0.11184500370573519
ParadigmScoreBool,8,26.24506935854251,21.235380782668766,64.58171299382421,9.232552013377626,0.15710510238511055,0.0966211567774027
