name,count,precision,recall,mcc
FunctionalScoreBool,8,6.695037448367719,54.42058195860574,0.0763608539461377
HasCurrying,8,6.597731117933527,3.7112728003941413,0.0168686964976291
HasFunctionCalls,8,6.625026577372891,8.769497278054736,0.025659002422756302
HasFunctionParameters,8,5.223728152010754,58.177289048473966,0.01985244664753185
HasFunctions,8,6.486797919918091,49.21652421652422,0.0699735797170795
HasHigherOrderCalls,8,6.778875027557948,44.39203354297695,0.06574183463493595
HasInnerVariableAssignment,8,9.325889164598841,4.908428288047239,0.045066278061040244
HasLazyValues,8,11.230168942087584,4.307093513697033,0.02650183969807355
HasMultipleParameterLists,8,5.413565981343861,34.11752136752136,0.0410781532192428
HasNestedMethods,8,8.820551486428265,14.767897563436009,0.0772994310540299
HasOuterVariableAssignment,8,6.948570097268332,8.860322454625123,0.0168122794439109
HasOuterVariableUsage,8,5.976313928823945,22.531287276178173,0.02969062874473085
HasPatternMatching,8,9.96088935164148,32.88059163059163,0.12624755107591074
HasPointsBool,8,5.374257957597329,80.77185486091037,0.09166253911914435
HasSideEffectCalls,8,7.036238429454032,25.533189033189032,0.0888902230486811
HasSideEffectFunctions,8,12.782005763505229,10.604649357705592,0.08707770502625035
HasSideEffects,8,5.530901219487339,33.34451659451659,0.05907029330902
HasVariableDefinitions,8,10.464965538102543,5.7641740093186336,0.04568931679505395
HasVariables,8,10.38961038961039,13.305555555555555,0.05749511051248485
ImperativeScoreBool,8,6.126271711624864,34.349567099567096,0.0578189183988223
IsFunction,8,4.603515507072661,98.64725773511447,0.01484019580404485
IsNested,8,5.543064683500519,8.319039451114923,0.014595806980590549
IsRecursive,8,6.063880206276306,34.122171659047,0.022473895261661603
IsSideEffect,8,5.9925538656527255,36.44058615024385,0.03457312415131905
ParadigmScoreBool,8,4.84792699109053,57.53005243631992,0.02604912060026285
