name,count,precision,recall,mcc
CommentDensity,8,12.551622310354384,23.64146000698568,0.12576279284760394
CommentLinesOfCode,8,12.676515124837131,24.6773489346839,0.14039345147092414
CyclomaticComplexity,8,9.71820744146288,40.90458869613878,0.1384870899375058
DepthOfNesting,8,10.368908443199361,33.16918750904081,0.1270945098972566
LinesOfCode,8,12.809545895116266,47.88957036508286,0.18523793411325296
NumberOfPatternVariables,8,10.871890393859239,30.931741445188877,0.13554046586617935
OutDegree,8,11.840781763920162,43.70660785755126,0.15300100606589379
OutDegreeDistinct,8,8.269371370133785,43.740889073025514,0.11794836496896045
ParadigmEntropyFraction,8,0.0,0.0,0.0
ParadigmGiniFraction,8,5.285933746742489,49.89198393293748,0.03997847141136425
PatternSize,8,11.154981745570261,33.062109040104154,0.14391422036590834
SourceLinesOfCode,8,12.142318773022144,46.83691800583287,0.18433660320273954
