name,count,mean mean,mean std,std mean,std std
FunctionalScoreBool,9,1.0317448171586887,0.38739449056960473,1.159967836751881,0.24922580254294202
HasCurrying,9,0.013127063651045788,0.014531870342622393,0.0779091794309192,0.05415578231406765
HasFunctionCalls,9,0.05756572743381558,0.04993534971818143,0.17409369368369518,0.0831895439613584
HasFunctionParameters,9,0.061741354640765814,0.053368604769107424,0.18343709366456087,0.0837352767290314
HasFunctions,9,0.2800856545050336,0.10714680430015427,0.3626542407157697,0.0581612229862316
HasHigherOrderCalls,9,0.22394522149266768,0.09373041911353167,0.3324901615119436,0.0715666919599614
HasInnerVariableAssignment,9,0.014621056224157,0.005821751423710813,0.0885791444206897,0.02472347937658433
HasLazyValues,9,0.018328474056128478,0.01174684044558216,0.09577801638465713,0.04712428285075258
HasMultipleParameterLists,9,0.13524975224476854,0.1015393474254397,0.27413457909203476,0.11480664400489453
HasNestedMethods,9,0.05001869830476869,0.022474234481976336,0.1724330160801581,0.043414077689222036
HasOuterVariableAssignment,9,0.0226262299650609,0.02906471339949922,0.09597169211207626,0.057847233337922986
HasOuterVariableUsage,9,0.04154060664161786,0.04682994735716868,0.15213834806721663,0.07243667876199618
HasPatternMatching,9,0.15963525985680577,0.05247129290207801,0.2923829655158928,0.04008305728942698
HasPointsBool,9,0.5238900028660055,0.11011119125399305,0.41849247818299196,0.01381101652625833
HasSideEffectCalls,9,0.12175074603161908,0.0950492195221793,0.24620652384457775,0.09032816719685555
HasSideEffectFunctions,9,0.020805991360060866,0.015525724016069406,0.10193660810512804,0.04554118025895468
HasSideEffects,9,0.17650798139214047,0.10589453321464766,0.30251649109327083,0.08450338785003972
HasVariableDefinitions,9,0.014119093040564246,0.009453035010900945,0.08717249127574912,0.03339365447897975
HasVariables,9,0.05063314144179924,0.045980065227273555,0.16992732609273242,0.06675458156421478
ImperativeScoreBool,9,0.5626081986962619,0.4206910852696477,1.0540651984539195,0.3916288065888864
IsFunction,9,0.024723369791063866,0.017745689067902377,0.11898118323998243,0.06136566978177371
IsNested,9,0.0001521094580811204,0.0004045895596130319,0.0040781081112066,0.010699628626513472
IsRecursive,9,0.007172131723743366,0.004487743553834709,0.056446151890290515,0.02591923625778022
IsSideEffect,9,0.10000335259924183,0.08807316343723784,0.2304460889743689,0.10404995331750598
ParadigmScoreBool,9,0.2536222283390806,0.1935291063516799,0.4903937488458714,0.0513178748168523
