name,count,mean mean,mean std,std mean,std std
CountCurrying,9,0.05659584832903397,0.05249820427779045,0.35094577214744505,0.25548293741660594
CountFunctionCalls,9,0.221982535787263,0.1833684594423445,0.7627727340820943,0.637682579430911
CountFunctionParameters,9,0.16144556531994864,0.10968266511607302,0.45125888700540595,0.1914157665171453
CountFunctions,9,1.7590134669845192,0.8351743650672437,4.664372617349741,4.043059115586164
CountHigherOrderCalls,9,1.084556502008504,0.5092760513766715,3.3651800234148963,3.6917771479173322
CountInnerVariableAssignment,9,0.13333696261458525,0.07319996505912198,0.9088298320042839,0.4627551841698997
CountLazyValues,9,0.09391934015158504,0.05685322138879657,0.5585523149571383,0.32881535020509156
CountNestedDepth,9,0.0005083261781147,0.0010096733465911993,0.011758170473820377,0.020380574564811196
CountNestedMethods,9,0.31382835946004545,0.21756858936820478,1.23303271453893,0.9372416192327903
CountOuterVariableAssignment,9,0.11812358184737055,0.16114364165788447,0.5610605314555115,0.4079075581565872
CountOuterVariableUsage,9,0.3176337245067261,0.45087659753641984,1.3392205046779928,1.0890655886220855
CountParameterLists,9,0.24048263032274242,0.14360257963150483,0.46521437033350377,0.15251773467244903
CountPatternMatching,9,0.718991232599315,0.22777402761607532,2.325799249188302,2.0544636836749888
CountRecursiveCalls,9,0.054678644389105746,0.04620593553668427,0.4119949193777299,0.3176587541402021
CountSideEffectCalls,9,0.9593318378468889,0.8207253321537186,3.026538560258482,1.5683164591811996
CountSideEffectFunctions,9,0.11621859550282099,0.07495036849367191,0.5370941113185267,0.2856672630919176
CountSideEffects,9,2.185560677722167,1.7970020090417653,6.222980341518904,3.128787186983032
CountVariableDefinitions,9,0.08718750767591679,0.04806530877140335,0.4866124486202714,0.20554350684098066
CountVariables,9,0.8323775509928708,0.6237766152731483,3.7105754919685126,1.4977938372602453
FunctionalScoreCount,9,4.3115471580071745,1.7412223347801095,10.920046643499777,10.014215822974299
HasPointsCount,9,0.6726281283530294,0.08109036421084032,0.4620302475132178,0.033823522259974224
ImperativeScoreCount,9,4.7399861329485296,3.840283960396853,14.449755917255503,6.668737739376214
IsFunction,9,0.051640455041642774,0.028413990131363368,0.21083153509017932,0.0656464975132609
IsSideEffect,9,0.1685871728557592,0.1187787197306982,0.3425178012594983,0.10809323541181926
ParadigmScoreCount,9,0.45232740373096675,0.16439809272355665,0.5567085240907489,0.044142002739386746
