name,count,mean,std
FractionCurrying,9,0.0002408319649698,0.0055661524992965
FractionFunctionCalls,9,0.0079386210478056,0.0730693789608347
FractionFunctions,9,0.0625429904359689,0.2004734703558184
FractionHigherOrderCalls,9,0.0208917814171062,0.1002669168050491
FractionInnerVariableAssignment,9,0.0,0.0
FractionLazyValues,9,0.0029885117705108,0.0461009056333983
FractionNestedMethods,9,0.0,0.0
FractionOuterVariableAssignment,9,0.0004017674441444,0.0108236002996004
FractionOuterVariableUsage,9,0.0044030514504652,0.048152391772344
FractionPatternMatching,9,0.0147182777524491,0.109044603975964
FractionRecursiveCalls,9,0.0,0.0
FractionSideEffectCalls,9,0.0054236225141397,0.0454465819002314
FractionSideEffectFunctions,9,0.0006443763518385,0.0130300192308619
FractionSideEffects,9,0.0897217160145363,0.2414189506886659
FractionVariableDefinitions,9,0.0,0.0
FractionVariables,9,0.0044030514504652,0.048152391772344
FunctionalScoreFraction,9,0.3385598791091463,0.6106169927356611
HasFunctionParameters,9,0.0361706149599029,0.1602500416467852
HasMultipleParameterLists,9,0.1256413830780732,0.2890068532938023
HasPointsFraction,9,0.3067577041454535,0.3920463122472981
ImperativeScoreFraction,9,0.1978005628454812,0.5111653488168056
IsFunction,9,0.0163149474185088,0.1076641840383841
IsNested,9,0.0,0.0
IsSideEffect,9,0.0888001054813541,0.2406107795035229
ParadigmScoreFraction,9,0.1151022495596657,0.4323437873950205
