commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,6,package metals - class InteractiveSemanticdbs,36.0,3.0,39.0,1.0,4.0,107.0,99.0,12.0,0.10810810810810811,0.0,24.0,19.0,19.0,17.0,57.0,23.0,17.0,4.0,-0.0,3.0
HEAD,2,package metals - trait AdjustLspData,15.0,6.0,21.0,0.0,11.0,78.0,78.0,0.0,0.0,2.0,21.0,13.0,13.0,0.0,49.0,25.0,0.0,0.0,-0.0,10.0
HEAD,0,package metals - class AdjustedLspData,7.0,9.0,16.0,2.0,2.0,23.0,23.0,0.0,0.0,0.0,4.0,5.0,5.0,6.0,14.0,4.0,2.0,1.0,-0.0,2.0
HEAD,0,package metals - object DefaultAdjustedData,11.0,1.0,12.0,1.0,0.0,21.0,21.0,0.0,0.0,0.0,9.0,8.0,8.0,0.0,6.0,6.0,0.0,0.0,-0.0,6.0
HEAD,0,package metals - object AdjustedLspData,7.0,9.0,15.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package tests - class BaseWorkspaceSymbolSuite,9.0,0.0,9.0,0.0,5.0,30.0,29.0,0.0,0.0,0.0,9.0,6.0,6.0,0.0,11.0,4.0,0.0,0.0,-0.0,5.0
HEAD,0,package mtags - class OverloadDisambiguator,5.0,4.0,9.0,0.0,1.0,10.0,9.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,-0.0,1.0
HEAD,0,package metals - package logging - package object logging,3.0,1.0,4.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package process - object ExitCodes,2.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package example - class ForComprehensions,12.0,0.0,12.0,0.0,0.0,37.0,35.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
