name,count,mean mean,mean std,std mean,std std
FunctionalScoreBool,9,1.3318110485978876,0.6432012489648699,1.490903506089551,0.3381259819716598
HasCurrying,9,0.01561579378438751,0.017300239335269103,0.1054722781621395,0.06693720084931264
HasFunctionCalls,9,0.06491595370354247,0.06555250622619457,0.21958904816964211,0.09874739338785007
HasFunctionParameters,9,0.10310320255392799,0.10204040039788888,0.26719013204127673,0.11538691627220733
HasFunctions,9,0.3378823010654378,0.15474275247413952,0.44723131841347946,0.052405585571416086
HasHigherOrderCalls,9,0.29273910115084295,0.1472394117168974,0.4288283372950295,0.0662402918122794
HasInnerVariableAssignment,9,0.01681306152370429,0.008410613773539372,0.12357363619340453,0.03672679845256191
HasLazyValues,9,0.020601831110647,0.011640376829556027,0.13327307077995443,0.05084140636693845
HasMultipleParameterLists,9,0.17864002987679553,0.1394375302251512,0.3384863433588634,0.12942392875402178
HasNestedMethods,9,0.052950529540626366,0.031443029380001285,0.21197094848481587,0.0698939919430055
HasOuterVariableAssignment,9,0.02510413165867241,0.03308033063742644,0.127225138921731,0.09072986003737814
HasOuterVariableUsage,9,0.04763493333797817,0.05986549368635179,0.17918735847883088,0.10646926920442845
HasPatternMatching,9,0.1814438487291189,0.06035763048113053,0.3785261007107534,0.04768159338142498
HasPointsBool,9,0.6038033517897434,0.14719321445842617,0.46765487013704443,0.03814104370793441
HasSideEffectCalls,9,0.13265612912196661,0.10352259140894424,0.30845308140085503,0.10817910864662471
HasSideEffectFunctions,9,0.024080462648531458,0.01652280986071469,0.1427400713313821,0.056982684285718455
HasSideEffects,9,0.19955013168035332,0.11605677253421887,0.3718848235701003,0.10325779803743582
HasVariableDefinitions,9,0.014602652806383367,0.007792195914494095,0.1144476434287033,0.03733149945341652
HasVariables,9,0.06004975742684412,0.05843484895593548,0.21344665199328175,0.09400248968691725
ImperativeScoreBool,9,0.6280956737623788,0.4750443978413715,1.2741241265621968,0.49193899656036527
IsFunction,9,0.020035535263877136,0.013156807242293943,0.13120049670603176,0.05052157220137547
IsNested,9,0.04052215793462742,0.030051914243642338,0.18451571627892255,0.06738222034991123
IsRecursive,9,0.023360763884056154,0.02204049348355824,0.13803906205450425,0.06121449938884708
IsSideEffect,9,0.10760441355794466,0.10380214332838957,0.26526596170630656,0.13455489956747424
ParadigmScoreBool,9,0.3115792130923267,0.22125442816970023,0.5741433215401385,0.05451622965201244
