commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package internal - object BiConnect - method BothDriversException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method NeitherDriverException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method UnknownDriverException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method UnknownRelationException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method MismatchedVecException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method MissingLeftFieldException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method MissingRightFieldException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method MismatchedException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method AttachAlreadyBulkConnectedException,1.0,0.0,11.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method DontCareCantBeSink,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method LeftProbeBiConnectionException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method RightProbeBiConnectionException,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,1,package internal - object BiConnect - method connect,36.0,14.0,123.0,97.0,15.0,0.13392857142857142,102.0,32.0,169.0,36.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method recordConnect,11.0,10.0,26.0,19.0,4.0,0.17391304347826086,16.0,9.0,36.0,10.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData,9.0,1.0,43.0,37.0,6.0,0.13953488372093023,18.0,12.0,20.0,0.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData - method typeCheck,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData - method contextCheck,1.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData - method bindingCheck,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData - method flowSinkCheck,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData - method flowSourceCheck,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData - method sourceAndSinkNotLiteralOrViewCheck,5.0,1.0,8.0,8.0,0.0,0.0,2.0,2.0,10.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method canFirrtlConnectData - method blackBoxCheck,3.0,1.0,4.0,4.0,0.0,0.0,4.0,4.0,6.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method issueConnectL2R,4.0,9.0,10.0,7.0,3.0,0.3,10.0,5.0,18.0,2.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method issueConnectR2L,4.0,9.0,10.0,7.0,3.0,0.3,10.0,5.0,18.0,2.0,-0.0,1.0
HEAD,0,package internal - object BiConnect - method elemConnect,34.0,4.0,80.0,59.0,18.0,0.23376623376623376,86.0,11.0,170.0,0.0,-0.0,0.0
HEAD,0,package internal - object BiConnect - method markAnalogConnected,3.0,5.0,9.0,8.0,2.0,0.2,10.0,8.0,9.0,2.0,-0.0,0.0
HEAD,0,package chisel3 - object SpecifiedDirection - method flip,5.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object SpecifiedDirection - method fromParent,5.0,3.0,7.0,7.0,0.0,0.0,6.0,3.0,22.0,2.0,-0.0,1.0
HEAD,0,package chisel3 - object SpecifiedDirection - method specifiedDirection,2.0,0.0,11.0,11.0,2.0,0.15384615384615385,4.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - method fromSpecified,4.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - method fromChildren,11.0,7.0,34.0,32.0,3.0,0.08571428571428572,23.0,7.0,9.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - object cloneSupertype - method apply,10.0,8.0,40.0,35.0,3.0,0.07894736842105263,24.0,12.0,56.0,12.0,-0.0,0.0
HEAD,0,package chisel3 - object getRecursiveFields - method noPath,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object getRecursiveFields - method lazilyNoPath,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object getRecursiveFields - method apply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object getRecursiveFields - method lazily,1.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object getMatchedFields - method apply,7.0,16.0,33.0,32.0,1.0,0.030303030303030304,40.0,17.0,54.0,12.0,-0.0,0.0
HEAD,0,package chisel3 - object chiselTypeOf - method apply,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object Input - method apply,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object Output - method apply,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object Flipped - method apply,1.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method flatten,4.0,7.0,7.0,7.0,0.0,0.0,3.0,3.0,10.0,3.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method containsAFlipped,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method mustClone,1.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method _minId,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method autoSeed,3.0,4.0,7.0,6.0,1.0,0.14285714285714285,5.0,4.0,7.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method probeInfo,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method probeInfo_=,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method isConst,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method isConst_=,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method specifiedDirection,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method specifiedDirection_=,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method _assignCompatibilityExplicitDirection,5.0,3.0,8.0,8.0,2.0,0.2,7.0,3.0,24.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method _binding,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method binding,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method binding_=,2.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method hasBinding,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method isSynthesizable,4.0,2.0,5.0,5.0,0.0,0.0,3.0,3.0,14.0,1.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method topBindingOpt,5.0,5.0,6.0,6.0,0.0,0.0,4.0,3.0,15.0,3.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method topBinding,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method bind,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method maybeAddToParentIds,4.0,5.0,8.0,7.0,2.0,0.2222222222222222,2.0,2.0,9.0,2.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method _direction,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method direction,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method direction_=,2.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,1,package chisel3 - class Data - method stringAccessor,4.0,10.0,16.0,12.0,4.0,0.25,11.0,8.0,10.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method _bindingToString,12.0,1.0,14.0,14.0,0.0,0.0,10.0,1.0,37.0,3.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method earlyName,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method parentNameOpt,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method _localErrorContext,2.0,0.0,8.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method allElements,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method badConnect,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method connect,4.0,7.0,20.0,17.0,1.0,0.05555555555555555,6.0,4.0,8.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method bulkConnect,5.0,7.0,22.0,18.0,2.0,0.1,9.0,5.0,19.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method typeEquivalent,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method findFirstTypeMismatch,16.0,17.0,57.0,51.0,3.0,0.05555555555555555,49.0,20.0,71.0,16.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method findFirstTypeMismatch - method checkProbeInfo,1.0,0.0,7.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method findFirstTypeMismatch - method checkProbeInfo - method probeInfoStr,1.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method findFirstTypeMismatch - method rec,16.0,17.0,42.0,37.0,3.0,0.075,42.0,18.0,71.0,16.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method requireTypeEquivalent,1.0,0.0,11.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method isVisible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method isVisibleFromModule,8.0,4.0,15.0,15.0,2.0,0.11764705882352941,14.0,5.0,36.0,5.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method visibleFromWhen,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method requireVisible,4.0,7.0,12.0,11.0,0.0,0.0,3.0,2.0,6.0,1.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method lref,5.0,7.0,11.0,11.0,0.0,0.0,10.0,6.0,20.0,4.0,-0.0,1.0
HEAD,1,package chisel3 - class Data - method ref,18.0,8.0,46.0,38.0,10.0,0.20833333333333334,36.0,15.0,56.0,9.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method ref - method materializeWire,3.0,0.0,9.0,8.0,0.0,0.0,8.0,5.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method setAllParents,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method width,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method firrtlConnect,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method cloneType,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method cloneTypeFull,1.0,0.0,8.0,7.0,2.0,0.2222222222222222,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method :=,1.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method <>,1.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method isLit,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method litOption,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method litValue,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method getWidth,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method isWidthKnown,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method widthOption,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - macro method asTypeOf,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method do_asTypeOf,1.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method connectFromBits,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - macro method asUInt,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method _asUIntImpl,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - class Data - method do_asUInt,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method toPrintable,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Data - method typeName,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object Data - method toConnectableDefault,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Data - <$anon: chisel3.reflect.DataMirror.HasMatchingZipOfChildren[chisel3.Data]> - class VecOptOps - method grab,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Data - <$anon: chisel3.reflect.DataMirror.HasMatchingZipOfChildren[chisel3.Data]> - class VecOptOps - method size,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Data - <$anon: chisel3.reflect.DataMirror.HasMatchingZipOfChildren[chisel3.Data]> - class RecordOptGet - method grab,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Data - <$anon: chisel3.reflect.DataMirror.HasMatchingZipOfChildren[chisel3.Data]> - class RecordOptGet - method keys,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,0.0
