commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package svsim - object CommonCompilationSettings - object OptimizationStyle,6.0,7.0,10.0,0.0,0.0,8.0,5.0,4.0,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - object OptimizationStyle - object Default,2.0,6.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - object OptimizationStyle - object OptimizeForCompilationSpeed,2.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - trait AvailableParallelism,0.0,7.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - object AvailableParallelism,8.0,7.0,12.0,0.0,0.0,8.0,5.0,4.0,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - object AvailableParallelism - object Default,2.0,6.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - object AvailableParallelism - class UpTo,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - trait Timescale,0.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - object Timescale,6.0,3.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object CommonCompilationSettings - object Timescale - class FromString,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - trait Backend,5.0,7.0,12.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package svsim - object Backend,11.0,7.0,18.0,0.0,0.0,38.0,21.0,17.0,0.4473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object Backend - class Parameters,4.0,6.0,10.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object Backend - object Parameters,5.0,6.0,11.0,1.0,0.0,8.0,6.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object Backend - object Parameters - class Invocation,3.0,5.0,8.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package svsim - object Backend - object HarnessCompilationFlags,2.0,7.0,9.0,0.0,0.0,21.0,11.0,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package naming - object DebugTransforms,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package naming - class DebugTransforms,10.0,1.0,11.0,0.0,1.0,25.0,12.0,12.0,0.5,0.0,21.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,-0.0,1.0
HEAD,0,package naming - object NamingTransforms,1.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package naming - class NamingTransforms,25.0,3.0,26.0,0.0,1.0,90.0,49.0,29.0,0.3717948717948718,0.0,17.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,-0.0,1.0
HEAD,0,package naming - class NamingTransforms - trait ValNameTransformer,11.0,3.0,13.0,1.0,1.0,14.0,10.0,3.0,0.23076923076923078,2.0,4.0,4.0,4.0,12.0,4.0,3.0,29.0,5.0,-0.0,0.0
HEAD,0,package naming - class NamingTransforms - class ClassBodyTransformer,22.0,1.0,22.0,2.0,1.0,23.0,19.0,5.0,0.20833333333333334,0.0,11.0,7.0,7.0,19.0,12.0,10.0,69.0,24.0,-0.0,0.0
HEAD,0,package naming - class NamingTransforms - class MethodTransformer,7.0,1.0,8.0,2.0,1.0,9.0,7.0,2.0,0.2222222222222222,0.0,2.0,4.0,4.0,9.0,1.0,1.0,18.0,8.0,-0.0,0.0
HEAD,0,package naming - class dump,4.0,3.0,6.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package naming - class treedump,4.0,3.0,6.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,1,package chisel3 - package simulator - package object simulator,80.0,5.0,83.0,0.0,0.0,192.0,160.0,32.0,0.16666666666666666,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ElaboratedModule,2.0,6.0,8.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class SimulatedModule,5.0,2.0,7.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,1,package chisel3 - package simulator - package object simulator - class AnySimulatedModule,22.0,7.0,29.0,0.0,3.0,46.0,40.0,8.0,0.16666666666666666,1.0,18.0,8.0,2.0,1.0,6.0,6.0,5.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - object AnySimulatedModule,13.0,7.0,19.0,0.0,0.0,8.0,9.0,0.0,0.0,1.0,8.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ChiselSimulation,11.0,1.0,12.0,0.0,1.0,16.0,17.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ChiselWorkspace,55.0,1.0,56.0,0.0,1.0,105.0,87.0,18.0,0.17142857142857143,0.0,43.0,19.0,19.0,11.0,65.0,38.0,62.0,16.0,-0.0,0.0
