name,tn,fp,fn,tp,r2,precision,recall,mcc
SwitchCount,53638,9532,1844,1019,-3.153539902057834,9.657852336271445,35.59203632553265,0.1139599060940318
MaxStretch,51128,12042,1479,1384,-3.936710004898381,10.3083569194101,48.340901152637095,0.14815395284815538
MaxStretchNormalized,29370,33800,1038,1825,-11.719850835785058,5.12280701754386,63.74432413552218,0.041831763795425206
MinStretch,46576,16594,1668,1195,-5.6677167450228705,6.71763449322615,41.739434159972056,0.07101937556824461
MinStretchNormalized,34376,28794,1522,1341,-10.068804120146387,4.449975111996018,46.838980090813834,0.005140501534071207
AvgStretch,47848,15322,1370,1493,-5.094487345740978,8.878977103776391,52.14809640237513,0.13039158124709538
AvgStretchNormalized,32137,31033,1391,1472,-10.838464995105769,4.52853407168128,51.414600069856796,0.009322348332935873
