name,count,mean mean,mean std,std mean,std std
FunctionalScoreBool,9,6.941691745224846,5.047486516423634,23.42762608235741,27.195597974151006
HasCurrying,9,0.08191163219664979,0.08389967551665899,0.5731252314679169,0.5621201239888732
HasFunctionCalls,9,0.36420171234466936,0.4642646520481216,1.5579776679526007,2.1363016820714855
HasFunctionParameters,9,0.6484229860174753,0.825834571718873,3.3038173203380463,4.300660405359494
HasFunctions,9,1.8197331343684198,1.2548667344165156,6.297947663356701,6.502322274892236
HasHigherOrderCalls,9,1.5833537217674534,1.1583006071016595,5.888429703821007,6.289776762055531
HasInnerVariableAssignment,9,0.0855377043855695,0.0610927475842849,0.5264963387770868,0.4532302811465044
HasLazyValues,9,0.10568327439393392,0.07565475717139813,0.7134367603605132,0.6606259675119244
HasMultipleParameterLists,9,1.0337235047442235,0.9642247283189876,4.716344893351816,5.387625694868712
HasNestedMethods,9,0.29432779830551703,0.24912562485303358,1.141736359102897,1.1045245690984067
HasOuterVariableAssignment,9,0.11651282613600343,0.15224050714697937,0.586192519132784,0.46143304686668446
HasOuterVariableUsage,9,0.22710087039241264,0.27411237242479664,1.1275674937475135,0.8474743266168783
HasPatternMatching,9,0.8569349683112049,0.32353978209002443,2.4410030625034227,1.548485456180704
HasPointsBool,9,3.0798270310025506,1.2913130877190278,8.534059109619271,7.2235971562340495
HasSideEffectCalls,9,0.625521709747886,0.449867872726633,1.9157241398875908,0.9633432859647922
HasSideEffectFunctions,9,0.1144385178466006,0.06377690215318568,0.5284962689048691,0.23656652094359265
HasSideEffects,9,0.9641795313140178,0.5214054445339091,2.872686089232632,1.5734246190496899
HasVariableDefinitions,9,0.07633052476970863,0.05491726725656068,0.484735069520168,0.43811322584169143
HasVariables,9,0.2884351227528117,0.26762743971194247,1.3013835187795533,0.8365951791890107
ImperativeScoreBool,9,2.9922634831377923,2.0942644774925467,9.036771458573943,4.8494477445329585
IsFunction,9,0.10172867225075252,0.06423511997840106,0.5640812931339532,0.28130312198506136
IsNested,9,0.0008309348912649777,0.0016036847482525799,0.02403762281451942,0.04634626351705335
IsRecursive,9,0.05083940563328136,0.052075222564468664,0.31899229213246727,0.2520229153143806
IsSideEffect,9,0.494206675792782,0.45949378246379086,1.557349942994942,1.1127940858831764
ParadigmScoreBool,9,1.6594894161515246,1.4950406651213102,6.778245665058628,6.060018448027782
