name,count,precision,recall,mcc
FractionCurrying,8,25.929609793420045,3.0647782679359183,0.0030294193034344497
FractionFunctionCalls,8,13.953817843771489,98.73367314431347,0.02137214833161035
FractionFunctions,8,22.6567271420873,24.744897959183675,0.0909552064600009
FractionHigherOrderCalls,8,27.65843179377014,10.181100534014396,0.08065472907026715
FractionInnerVariableAssignment,8,0.0,0.0,0.0
FractionLazyValues,8,19.798125739971503,6.002514142049026,0.02911385885676665
FractionNestedMethods,8,0.0,0.0,0.0
FractionOuterVariableAssignment,8,1.5151515151515151,0.1318391562294001,0.0
FractionOuterVariableUsage,8,26.478522994116254,50.01779781680114,0.019741708846989
FractionPatternMatching,8,28.021978021978022,4.56939990838296,0.050296940741056
FractionRecursiveCalls,8,0.0,0.0,0.0
FractionSideEffectCalls,8,24.9893185216834,13.467081747953419,0.01423898022457435
FractionSideEffectFunctions,8,6.541856531633034,5.058198860404005,0.0
FractionSideEffects,8,24.068653312684013,30.639075922916184,0.12812994171034175
FractionVariableDefinitions,8,0.0,0.0,0.0
FractionVariables,8,26.478522994116254,50.01779781680114,0.019741708846989
FunctionalScoreFraction,8,30.78027862697224,34.11016949152542,0.18482429686764001
HasFunctionParameters,8,32.51648426347631,17.402851551579538,0.10654721422863794
HasMultipleParameterLists,8,32.57869894560542,31.549435614476266,0.1704321031013693
HasPointsFraction,8,32.76219512195122,44.96162829496163,0.23123176471243823
ImperativeScoreFraction,8,24.30398750900793,31.530022336092497,0.12538041760496954
IsFunction,8,21.0,13.639617676650413,0.06212235043207136
IsNested,8,0.0,0.0,0.0
IsSideEffect,8,24.03728094653421,30.37544343713047,0.12323591522223146
ParadigmScoreFraction,8,26.128778955634083,38.780641106222504,0.1705640855940769
