name,count,percentage_faulty,percentage_total_faults
FunctionalScoreBool,9,5.29233870967742,71.57287157287158
HasCurrying,8,5.89876242645567,2.1933962264150946
HasFunctionCalls,9,4.922361888665892,6.944444444444445
HasFunctionParameters,9,5.027932960893855,6.481481481481481
HasFunctions,9,5.711610486891386,46.2962962962963
HasHigherOrderCalls,9,6.195786864931847,44.33962264150944
HasInnerVariableAssignment,9,8.974358974358974,3.67965367965368
HasLazyValues,9,10.99601593625498,3.231597845601436
HasMultipleParameterLists,9,2.8658936775322688,21.936205931729155
HasNestedMethods,9,8.636363636363637,15.739078396169958
HasOuterVariableAssignment,9,5.714285714285714,0.9259259259259258
HasOuterVariableUsage,9,5.0,6.944444444444445
HasPatternMatching,9,9.849521203830369,33.26118326118326
HasPointsBool,9,5.1445369916707495,79.49703108627314
HasSideEffectCalls,9,6.826100047313862,28.066378066378068
HasSideEffectFunctions,9,12.61682242990654,3.291442250149611
HasSideEffects,9,4.794933655006031,33.5
HasVariableDefinitions,9,9.67741935483871,2.7777777777777777
HasVariables,9,7.142857142857142,11.11111111111111
ImperativeScoreBool,9,5.681818181818182,34.5
IsFunction,9,2.127659574468085,0.9960828203693342
IsNested,9,6.024096385542169,4.967085577498504
IsRecursive,9,5.471324983520105,2.453102453102453
IsSideEffect,9,5.318441064638783,7.5
ParadigmScoreBool,9,3.958617716789999,49.53703703703704
