name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
FunctionalScoreBool,9,6.74038229737859,5.875311279236667,73.87779412946526,11.223130943049386
HasCurrying,8,7.325961577897218,7.367708770948133,2.63179076333309,2.8954090556766854
HasFunctionCalls,9,6.9683222385959915,6.534261571028411,8.420689654129326,8.605206534998079
HasFunctionParameters,9,4.76641475533368,3.877651004384481,10.012875875383306,10.320293686684229
HasFunctions,9,6.813241647081729,5.4834399587041505,49.75167636226877,10.580671789566068
HasHigherOrderCalls,9,7.092976495426017,5.585268035608588,44.95630212047883,11.457174662336561
HasInnerVariableAssignment,9,13.270508393548239,11.163278444195493,4.827428573225682,4.588192426481134
HasLazyValues,9,9.21023074040641,6.458745466964571,4.6139536347967445,5.780767692515035
HasMultipleParameterLists,9,6.9819727322797185,7.647371070346737,22.417751888428526,16.870522598838722
HasNestedMethods,9,13.124692064031754,11.93029879019664,15.154403140387968,6.926309444433273
HasOuterVariableAssignment,9,6.911265780407913,5.773954938022007,3.951814273434787,6.459073950165799
HasOuterVariableUsage,9,7.710677361147439,7.775180945106626,8.954720083854363,9.873989805600276
HasPatternMatching,9,10.614703168650626,8.681264990519148,44.424309954619474,15.455085678469324
HasPointsBool,9,6.346289948876189,5.575121086037152,80.18580445540422,9.627161779918003
HasSideEffectCalls,9,8.646969195606633,6.510469634822951,26.131731618274966,17.757401274507842
HasSideEffectFunctions,9,13.902312789826203,11.396646849448937,6.591549053276543,6.550631784219218
HasSideEffects,9,7.221429402204882,6.036872048439822,35.53477873059143,21.6391743578112
HasVariableDefinitions,9,14.56476010336324,12.08855618983793,4.590670213596862,4.174359705206987
HasVariables,9,9.552299135055717,6.456804028564294,12.540003969358013,9.085093555708228
ImperativeScoreBool,9,7.338463615776514,5.859686384458256,36.892190310820574,21.565049814974206
IsFunction,9,4.56573879758043,6.8775798624645486,2.092285201767386,2.5415478096048525
IsNested,9,6.5782555704739245,5.505577755398524,5.353136437102128,3.8616221573307263
IsRecursive,9,6.427203988821528,8.257076691560531,2.9336446714648523,3.1845071818794524
IsSideEffect,9,6.063716485948328,5.7747936824457415,13.979476103685327,15.301033108541942
ParadigmScoreBool,9,5.445950483816704,5.204776333113085,49.60162447052261,18.940272876209793
