name,tn,fp,fn,tp,r2,precision,recall,mcc
SwitchCount,3211,235,382,403,0.034964567060119744,63.16614420062696,51.33757961783439,0.4836040511883749
MaxStretch,3026,420,235,550,-0.02447035425546451,56.70103092783505,70.06369426751591,0.5352135268979499
MaxStretchNormalized,2046,1400,366,419,-1.7621597642979392,23.03463441451347,53.37579617834395,0.10010666377442351
MinStretch,2827,619,556,229,-0.8377903301529324,27.004716981132077,29.17197452229299,0.1088466384672662
MinStretchNormalized,1821,1625,256,529,-1.9420286051214175,24.55896007428041,67.38853503184713,0.15732546610712425
AvgStretch,2843,603,307,478,-0.4233099578205688,44.21831637372803,60.89171974522293,0.3867637174512402
AvgStretchNormalized,1930,1516,272,513,-1.7965694555859089,25.28339083292262,65.35031847133757,0.16618383920907712
