name,count,precision,recall,mcc
FractionCurrying,8,25.929609793420045,3.0647782679359183,0.0030294193034344497
FractionFunctionCalls,8,15.660210043121435,98.73367314431347,0.0238692506492135
FractionFunctions,8,25.82725595290396,24.454200284765065,0.09108815951293164
FractionHigherOrderCalls,8,25.060496067755594,11.56371853457426,0.08065472907026715
FractionInnerVariableAssignment,8,0.0,0.0,0.0
FractionLazyValues,8,19.798125739971503,6.002514142049026,0.02911385885676665
FractionNestedMethods,8,0.0,0.0,0.0
FractionOuterVariableAssignment,8,1.5151515151515151,0.1318391562294001,0.0
FractionOuterVariableUsage,8,26.478522994116254,24.727100142382536,0.019741708846989
FractionPatternMatching,8,28.021978021978022,5.62456466217785,0.050296940741056
FractionRecursiveCalls,8,0.0,0.0,0.0
FractionSideEffectCalls,8,25.129570976101355,88.25897815623844,0.01423898022457435
FractionSideEffectFunctions,8,6.541856531633034,0.6167856570915686,0.00510696462670885
FractionSideEffects,8,21.138442683940998,33.830120074412314,0.1259305650870998
FractionVariableDefinitions,8,0.0,0.0,0.0
FractionVariables,8,26.478522994116254,24.727100142382536,0.019741708846989
FunctionalScoreFraction,8,24.29817704698361,47.583355713437015,0.18768956733816328
HasFunctionParameters,8,27.68158759604704,17.402851551579538,0.10654721422863794
HasMultipleParameterLists,8,24.15370608077853,39.01443816698054,0.17454480477274975
HasPointsFraction,8,18.565850504884658,65.62565390249006,0.1700496214456946
ImperativeScoreFraction,8,20.92817833358316,34.00135295112464,0.1203120705764157
IsFunction,8,21.0,13.639617676650413,0.06212235043207136
IsNested,8,0.0,0.0,0.0
IsSideEffect,8,21.082864535118325,34.069049669824864,0.12323591522223146
ParadigmScoreFraction,8,21.10536771655062,51.271186440677965,0.18352018396739467
