name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,335,42,293,12.53731343283582,67.74193548387096
Max stretch,893,58,835,6.4949608062709965,93.54838709677419
Min stretch,893,58,835,6.4949608062709965,93.54838709677419
Average stretch,893,58,835,6.4949608062709965,93.54838709677419
AvrParadigmEntropyBool,140,29,111,20.714285714285715,46.774193548387096
AvrParadigmGiniBool,549,47,502,8.561020036429873,75.80645161290323
MaxParadigmEntropyBool,140,29,111,20.714285714285715,46.774193548387096
MaxParadigmGiniBool,549,47,502,8.561020036429873,75.80645161290323
SumParadigmEntropyBool,140,29,111,20.714285714285715,46.774193548387096
SumParadigmGiniBool,549,47,502,8.561020036429873,75.80645161290323
AvrParadigmEntropyCount,128,24,104,18.75,38.70967741935484
AvrParadigmGiniCount,547,47,500,8.592321755027422,75.80645161290323
MaxParadigmEntropyCount,128,24,104,18.75,38.70967741935484
MaxParadigmGiniCount,547,47,500,8.592321755027422,75.80645161290323
SumParadigmEntropyCount,128,24,104,18.75,38.70967741935484
SumParadigmGiniCount,547,47,500,8.592321755027422,75.80645161290323
AvrParadigmEntropyFraction,8,2,6,25.0,3.225806451612903
AvrParadigmGiniFraction,595,47,548,7.899159663865546,75.80645161290323
MaxParadigmEntropyFraction,8,2,6,25.0,3.225806451612903
MaxParadigmGiniFraction,595,47,548,7.899159663865546,75.80645161290323
SumParadigmEntropyFraction,8,2,6,25.0,3.225806451612903
SumParadigmGiniFraction,595,47,548,7.899159663865546,75.80645161290323
