name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,186,72,114,38.70967741935484,71.28712871287128
Max stretch,466,90,376,19.313304721030043,89.10891089108911
Min stretch,466,90,376,19.313304721030043,89.10891089108911
Average stretch,466,90,376,19.313304721030043,89.10891089108911
AvrParadigmEntropyBool,83,41,42,49.39759036144578,40.5940594059406
AvrParadigmGiniBool,253,59,194,23.3201581027668,58.415841584158414
MaxParadigmEntropyBool,83,41,42,49.39759036144578,40.5940594059406
MaxParadigmGiniBool,253,59,194,23.3201581027668,58.415841584158414
SumParadigmEntropyBool,83,41,42,49.39759036144578,40.5940594059406
SumParadigmGiniBool,253,59,194,23.3201581027668,58.415841584158414
AvrParadigmEntropyCount,83,41,42,49.39759036144578,40.5940594059406
AvrParadigmGiniCount,253,59,194,23.3201581027668,58.415841584158414
MaxParadigmEntropyCount,83,41,42,49.39759036144578,40.5940594059406
MaxParadigmGiniCount,253,59,194,23.3201581027668,58.415841584158414
SumParadigmEntropyCount,83,41,42,49.39759036144578,40.5940594059406
SumParadigmGiniCount,253,59,194,23.3201581027668,58.415841584158414
AvrParadigmEntropyFraction,29,10,19,34.48275862068966,9.900990099009901
AvrParadigmGiniFraction,291,63,228,21.649484536082475,62.37623762376238
MaxParadigmEntropyFraction,29,10,19,34.48275862068966,9.900990099009901
MaxParadigmGiniFraction,291,63,228,21.649484536082475,62.37623762376238
SumParadigmEntropyFraction,29,10,19,34.48275862068966,9.900990099009901
SumParadigmGiniFraction,291,63,228,21.649484536082475,62.37623762376238
