name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,66033,2863,63170,4.3357109324125815
Chisel,5483,106,5377,1.9332482217764
FS2,13302,200,13102,1.5035333032626672
Gatling,10093,1386,8707,13.73228970573665
Gitbucket,3933,216,3717,5.491990846681922
Http4s,4038,117,3921,2.8974739970282317
Lila,82753,8935,73818,10.79719164259906
Metals,16419,1023,15396,6.230586515622145
SynapseML,4293,7,4286,0.1630561378989052
ZIO,45649,1671,43978,3.660540208985958
