name,count,percentage_faulty,percentage_total_faults
FunctionalScoreBool,9,14.312617702448213,80.0
HasCurrying,8,32.651321398124466,9.675141242937855
HasFunctionCalls,9,27.573529411764707,21.32768361581921
HasFunctionParameters,9,24.372759856630825,18.367346938775512
HasFunctions,9,19.971056439942117,70.2054794520548
HasHigherOrderCalls,9,21.280276816609,63.6986301369863
HasInnerVariableAssignment,9,28.35820895522388,13.580246913580249
HasLazyValues,9,43.19526627218935,9.294660514172708
HasMultipleParameterLists,9,17.012448132780083,37.28813559322034
HasNestedMethods,9,28.703703703703702,33.78378378378378
HasOuterVariableAssignment,9,33.33333333333333,6.395348837209303
HasOuterVariableUsage,9,32.70524899057873,13.559322033898304
HasPatternMatching,9,24.10958904109589,55.50847457627118
HasPointsBool,9,13.71527777777778,84.93150684931507
HasSideEffectCalls,9,27.828191167574108,44.17808219178082
HasSideEffectFunctions,9,37.9746835443038,17.28395061728395
HasSideEffects,9,25.0,55.932203389830505
HasVariableDefinitions,9,35.55555555555556,15.819209039548024
HasVariables,9,31.176470588235293,28.8135593220339
ImperativeScoreBool,9,24.786324786324787,58.0246913580247
IsFunction,9,22.0,4.482531311799605
IsNested,4,100.0,0.16950083609860375
IsRecursive,9,34.88372093023256,6.638418079096045
IsSideEffect,9,19.35483870967742,25.34246575342466
ParadigmScoreBool,9,13.94658753709199,71.57534246575342
