name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,7996,857,7139,10.717858929464732
Chisel,1721,57,1664,3.3120278907611858
FS2,1316,62,1254,4.711246200607903
Gatling,1797,374,1423,20.812465219810797
Gitbucket,674,101,573,14.985163204747776
Http4s,1619,87,1532,5.373687461395924
Lila,5118,2124,2994,41.50058616647128
Metals,2395,302,2093,12.609603340292274
SynapseML,1596,5,1591,0.3132832080200501
ZIO,2264,180,2084,7.950530035335689
