name,count,mean,std
CountCurrying,9,0.0300829875518672,0.2235547638993442
CountFunctionCalls,9,0.1014832162373146,0.4556103319842608
CountFunctionParameters,9,0.0964090554254488,0.3383510576769713
CountFunctions,9,1.2743950039032006,2.801395103398117
CountHigherOrderCalls,9,0.9257221458046768,1.8815919174088944
CountInnerVariableAssignment,9,0.098825831702544,0.7383771755419893
CountLazyValues,9,0.0833333333333333,0.5160184465284362
CountNestedDepth,9,0.0,0.0
CountNestedMethods,9,0.1643835616438356,0.8030204742840239
CountOuterVariableAssignment,9,0.0910138248847926,0.5474170320329286
CountOuterVariableUsage,9,0.1935483870967742,1.0304779847729917
CountParameterLists,9,0.2503438789546079,0.4608548209214852
CountPatternMatching,9,0.5809128630705395,1.356460725653826
CountRecursiveCalls,9,0.0343878954607978,0.3033256369737129
CountSideEffectCalls,9,0.7690802348336595,3.1736528609358228
CountSideEffectFunctions,9,0.1007827788649706,0.5245996271582297
CountSideEffects,9,1.6350293542074363,5.569364512605492
CountVariableDefinitions,9,0.0683417085427135,0.3923707137556751
CountVariables,9,0.6030150753768844,3.5459231731366057
FunctionalScoreCount,9,3.626865671641791,7.006233204927503
HasPointsCount,9,0.6107290233837689,0.4879206366640532
ImperativeScoreCount,9,3.916829745596869,11.773180347458716
IsFunction,9,0.0347384855581576,0.1831524403171071
IsSideEffect,9,0.1728650137741046,0.3782608115929756
ParadigmScoreCount,9,0.4484181568088033,0.5539610288830209
