name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,11,0,11,0.0,0.0
IsNested,11,2,9,18.181818181818183,1.7241379310344827
HasNestedMethods,51,7,44,13.725490196078432,6.0344827586206895
HasFunctions,350,54,296,15.428571428571427,46.55172413793103
IsFunction,8,0,8,0.0,0.0
HasFunctionParameters,62,6,56,9.67741935483871,5.172413793103448
HasHigherOrderCalls,314,51,263,16.24203821656051,43.96551724137931
HasFunctionCalls,29,5,24,17.24137931034483,4.310344827586207
HasPatternMatching,237,50,187,21.09704641350211,43.103448275862064
HasLazyValues,9,2,7,22.22222222222222,1.7241379310344827
HasMultipleParameterLists,377,51,326,13.527851458885943,43.96551724137931
FunctionalScoreBool,710,103,607,14.507042253521126,88.79310344827587
HasVariables,40,8,32,20.0,6.896551724137931
HasVariableDefinitions,16,3,13,18.75,2.586206896551724
HasInnerVariableAssignment,18,5,13,27.77777777777778,4.310344827586207
HasOuterVariableUsage,25,5,20,20.0,4.310344827586207
HasOuterVariableAssignment,16,0,16,0.0,0.0
HasSideEffects,326,49,277,15.030674846625766,42.241379310344826
IsSideEffect,218,32,186,14.678899082568808,27.586206896551722
HasSideEffectCalls,150,31,119,20.666666666666668,26.72413793103448
HasSideEffectFunctions,35,14,21,40.0,12.068965517241379
ImperativeScoreBool,330,50,280,15.151515151515152,43.103448275862064
HasPointsBool,803,112,691,13.947696139476962,96.55172413793103
ParadigmScoreBool,566,71,495,12.54416961130742,61.206896551724135
