name,count,percentage_faulty,percentage_total_faults
Average stretch,9,10.294117647058822,88.80597014925374
AvrParadigmEntropyBool,9,23.503521126760564,50.43586550435866
AvrParadigmEntropyCount,9,24.30622009569378,49.77168949771689
AvrParadigmEntropyFraction,9,31.03448275862069,6.451612903225806
AvrParadigmGiniBool,9,13.181961526332389,73.64864864864865
AvrParadigmGiniCount,9,13.39974293059126,73.64864864864865
AvrParadigmGiniFraction,9,11.478800413650465,74.24749163879598
Max stretch,9,10.294117647058822,88.80597014925374
MaxParadigmEntropyBool,9,23.503521126760564,50.43586550435866
MaxParadigmEntropyCount,9,24.30622009569378,49.77168949771689
MaxParadigmEntropyFraction,9,31.03448275862069,6.451612903225806
MaxParadigmGiniBool,9,13.181961526332389,73.64864864864865
MaxParadigmGiniCount,9,13.39974293059126,73.64864864864865
MaxParadigmGiniFraction,9,11.478800413650465,74.24749163879598
Min stretch,9,10.294117647058822,88.80597014925374
SumParadigmEntropyBool,9,23.503521126760564,50.43586550435866
SumParadigmEntropyCount,9,24.30622009569378,49.77168949771689
SumParadigmEntropyFraction,9,31.03448275862069,6.451612903225806
SumParadigmGiniBool,9,13.181961526332389,73.64864864864865
SumParadigmGiniCount,9,13.39974293059126,73.64864864864865
SumParadigmGiniFraction,9,11.478800413650465,74.24749163879598
Switch count,9,18.552036199095024,66.50062266500623
