commit,faults,path,Switch count,Max stretch,Min stretch,Average stretch,AvrParadigmEntropyBool,AvrParadigmGiniBool,MaxParadigmEntropyBool,MaxParadigmGiniBool,SumParadigmEntropyBool,SumParadigmGiniBool,AvrParadigmEntropyCount,AvrParadigmGiniCount,MaxParadigmEntropyCount,MaxParadigmGiniCount,SumParadigmEntropyCount,SumParadigmGiniCount,AvrParadigmEntropyFraction,AvrParadigmGiniFraction,MaxParadigmEntropyFraction,MaxParadigmGiniFraction,SumParadigmEntropyFraction,SumParadigmGiniFraction
HEAD,0,package auth - object DigestAuthSupport - method realmWithAuthorizationGen - <$anon: io.gatling.http.client.realm.DigestRealm.AuthorizationGen>,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,3,package request - package builder - package object builder,6.0,56.0,56.0,56.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package render - class HttpTraffic,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package render - object HttpTraffic,7.0,108.0,108.0,108.0,-0.0,0.8,-0.0,1.0,-0.0,4.0,-0.0,0.8,-0.0,1.0,-0.0,4.0,-0.0,1.0,-0.0,1.0,-0.0,5.0
HEAD,0,package structure - trait Errors,1.0,22.0,22.0,22.0,-0.0,0.1111111111111111,-0.0,1.0,-0.0,1.0,-0.0,0.1111111111111111,-0.0,1.0,-0.0,1.0,-0.0,0.1111111111111111,-0.0,1.0,-0.0,1.0
HEAD,0,package engine - object GatlingHttpListener,0.0,0.0,0.0,0.0,-0.0,0.5,-0.0,1.0,-0.0,1.0,-0.0,0.5,-0.0,1.0,-0.0,1.0,-0.0,0.5,-0.0,1.0,-0.0,1.0
HEAD,5,package engine - class GatlingHttpListener,8.0,185.0,185.0,185.0,-0.0,0.3,-0.0,1.0,-0.0,3.0,-0.0,0.3,-0.0,1.0,-0.0,3.0,-0.0,0.3,-0.0,1.0,-0.0,3.0
HEAD,0,package <empty> - class AdvancedTutorialSampleScala,0.0,118.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - class AdvancedTutorialSampleScala - object Chains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - class AdvancedTutorialSampleScala - object FeederSample,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - class AdvancedTutorialSampleScala - object BrowseLoopSimple,0.0,18.0,18.0,18.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package <empty> - class AdvancedTutorialSampleScala - object BrowseLoopFor,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - class AdvancedTutorialSampleScala - object CheckAndTryMax,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package action - trait Action,1.0,23.0,23.0,23.0,-0.0,0.5,-0.0,1.0,-0.0,2.0,-0.0,0.5,-0.0,1.0,-0.0,2.0,-0.0,0.5,-0.0,1.0,-0.0,2.0
HEAD,2,package action - trait ChainableAction,1.0,31.0,31.0,31.0,-0.0,0.75,-0.0,1.0,-0.0,3.0,-0.0,0.75,-0.0,1.0,-0.0,3.0,-0.0,0.75,-0.0,1.0,-0.0,3.0
HEAD,0,package action - class ActorDelegatingAction,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package action - trait ExitableAction,2.0,6.0,6.0,6.0,-0.0,1.0,-0.0,1.0,-0.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,2.0,-0.0,0.5,-0.0,1.0,-0.0,1.0
HEAD,2,package action - trait RequestAction,4.0,27.0,27.0,27.0,-0.0,0.75,-0.0,1.0,-0.0,3.0,-0.0,0.75,-0.0,1.0,-0.0,3.0,-0.0,0.25,-0.0,1.0,-0.0,1.0
HEAD,1,package response - class StatsProcessor,1.0,55.0,55.0,55.0,-0.0,0.3333333333333333,-0.0,1.0,-0.0,1.0,-0.0,0.3333333333333333,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package response - object NoopStatsProcessor,0.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,2,package response - class DefaultStatsProcessor,1.0,21.0,21.0,21.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,6,package controller - class RecorderController,8.0,82.0,82.0,82.0,-0.0,0.3333333333333333,-0.0,1.0,-0.0,2.0,-0.0,0.3333333333333333,-0.0,1.0,-0.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package cookie - object GetCookieBuilder,0.0,5.0,5.0,5.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package cookie - class GetCookieBuilder,0.0,22.0,22.0,22.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package cookie - class GetCookieBuilder - method build - <$anon: io.gatling.core.action.SessionHook with io.gatling.core.action.ExitableAction>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package polling - class Poller,4.0,54.0,54.0,54.0,-0.0,0.5,-0.0,1.0,-0.0,2.0,-0.0,0.5,-0.0,1.0,-0.0,2.0,-0.0,0.25,-0.0,1.0,-0.0,1.0
HEAD,0,package polling - class Poller - method poll - <$anon: io.gatling.http.engine.response.ResponseProcessor>,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package internal - object Comparisons,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,2.0
HEAD,0,package body - object HttpBodyStringCheckMaterializer,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - object Feeders,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package url - trait CurrentLocationCheckType,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
