name,count,precision,recall,mcc
FunctionalScoreBool,8,45.79424579032069,51.37092691458027,0.3805766419667116
HasCurrying,8,35.146103896103895,18.431645199063233,0.09200807700091294
HasFunctionCalls,8,41.77498156342183,24.633660886985353,0.172952208484032
HasFunctionParameters,8,45.93803437382256,21.024070492155595,0.17421504300039192
HasFunctions,8,43.94158473105842,42.939985272459495,0.3353818079476819
HasHigherOrderCalls,8,49.402066047872026,46.816368509630365,0.33925862229235293
HasInnerVariableAssignment,8,31.597322623828646,13.600015679510797,0.15541397675126162
HasLazyValues,8,42.76874941626973,13.63137849209356,0.16258372292779055
HasMultipleParameterLists,8,46.2816091954023,31.001617141702038,0.2675166924117774
HasNestedMethods,8,41.58341658341658,35.481995079400576,0.3044637012248712
HasOuterVariableAssignment,8,26.509772289188565,14.09451844262295,0.054427618016782656
HasOuterVariableUsage,8,29.18143539467069,14.110070257611241,0.11055039723360885
HasPatternMatching,8,41.49099038070722,53.11226914720261,0.36996113865357527
HasPointsBool,8,41.670774884596426,51.67349726775956,0.35623506981847974
HasSideEffectCalls,8,29.42423939294339,43.7436537114846,0.2462787146184556
HasSideEffectFunctions,8,48.63703518738165,25.224409155297103,0.27564104434671455
HasSideEffects,8,33.32741477272727,41.712841809838054,0.2787786130624268
HasVariableDefinitions,8,39.428682471822775,14.334950099653604,0.16015101234637436
HasVariables,8,29.32386174085839,19.795824579831933,0.17385962561437765
ImperativeScoreBool,8,29.27007299270073,41.03830421409772,0.2660105364908747
IsFunction,8,25.864045864045863,14.77931144653219,0.0778980394541047
IsNested,8,0.0,0.0,0.0
IsRecursive,8,41.622311337951146,21.33236901317904,0.11449644132032069
IsSideEffect,8,23.535146884889556,33.64955357142857,0.11704479917942175
ParadigmScoreBool,8,41.695326531392105,52.33495588682689,0.3488139349134314
