name,count,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
FunctionalScoreBool,8,50.27759271229192,19.83421825261459,51.26417120985226,8.536107692323633,0.38025421207444804,0.07215409392170832
HasCurrying,8,31.748368136601457,20.516720491837802,34.0321834516349,40.552951124106364,0.1131526928603301,0.10303683540857468
HasFunctionCalls,8,40.82928191678305,22.973740765180683,24.274105499018333,7.477339894287642,0.17739504374020812,0.1179400773765527
HasFunctionParameters,8,42.54802320266245,20.941564719918492,23.36652965112524,7.783736379547136,0.19294675253462104,0.08763111228775593
HasFunctions,8,48.99439210053205,22.130724574609186,44.74811745280295,6.554251382005215,0.33909392043863096,0.08709397632951049
HasHigherOrderCalls,8,50.001641481845155,21.548948796203106,46.894025553697766,9.926472806499895,0.3468152433085838,0.07909653893213563
HasInnerVariableAssignment,8,45.22158446637679,22.318941933428167,14.482091890008949,8.988300278020464,0.15922792373888706,0.07621905200513152
HasLazyValues,8,49.923973065828704,30.072665634047844,16.686738072654936,13.633389241264645,0.182007267847765,0.12433136360060386
HasMultipleParameterLists,8,47.31283998345839,22.907258680773598,29.358920799052513,9.566700904431418,0.2568315460566826,0.11322273922273203
HasNestedMethods,8,51.35582113290824,25.02280261983471,34.837703723959415,12.292589061325973,0.30101288473625487,0.10503900305101871
HasOuterVariableAssignment,8,33.85868407082692,24.444444948354608,25.891345522628118,32.94628570894955,0.08313655702047197,0.08418093213690503
HasOuterVariableUsage,8,36.012611352798494,22.372656513765683,25.285229494206728,32.04359542439203,0.11297442059469681,0.0727915423089885
HasPatternMatching,8,48.527013198668186,21.454121224787457,53.49555829744242,6.651336909868243,0.3729848872061553,0.0825108109946043
HasPointsBool,8,48.029810608755994,19.36085820686566,52.43483986237205,9.498055909605226,0.3705448769139571,0.07167361211437702
HasSideEffectCalls,8,41.27800656640907,23.31007733585321,38.31049116470733,16.255595426958237,0.25245813889742086,0.10548164427216224
HasSideEffectFunctions,8,54.03909009107843,23.688853514769193,22.553540569091417,13.559690227508035,0.2458007848514929,0.10306008464535216
HasSideEffects,8,41.9913883840545,23.48149272416398,39.08122063999927,16.190841631148118,0.2607790268920377,0.12562310008505803
HasVariableDefinitions,8,48.82312984905417,24.948079119329954,14.167518393947745,8.815846073294628,0.1648204195229102,0.08570448009551691
HasVariables,8,42.06767896930663,21.82977262541985,21.907420043076893,12.197370004310429,0.17903331240423848,0.07435524943105684
ImperativeScoreBool,8,42.02830663099401,23.15855401702556,38.40825275023272,14.407085994259555,0.2611416821958298,0.11541076173998324
IsFunction,8,28.091352956033,19.024139172322307,34.058449966102195,40.50386524989562,0.06708228135851452,0.0480566942415769
IsNested,8,14.626582544542455,34.709448009270616,12.44972384181358,31.501076717294197,0.0041448078245707376,0.014694030053093677
IsRecursive,8,46.49517420844814,24.248182331975322,33.08368751517499,36.79287797424152,0.13535072048394056,0.10815022298101983
IsSideEffect,8,34.24157456035933,23.992813490274397,33.544512188468374,19.797615677126366,0.15075776115427147,0.12648173132751817
ParadigmScoreBool,8,41.827226445314324,24.135718715116607,49.5885353031191,11.955329874589355,0.2657393699884574,0.17896045579973283
