name,tn,fp,fn,tp,r2,precision,recall,mcc
SwitchCount,7837,239,2951,135,-0.42869810680582443,36.096256684491976,4.374594944912508,0.03517308500802332
MaxStretch,6573,1503,1411,1675,-0.30508660916369035,52.706104468219,54.27738172391445,0.3534855227312498
MaxStretchNormalized,4267,3809,893,2193,-1.1058741373670804,36.53782072642453,71.06286454957875,0.21438410420904375
MinStretch,6656,1420,1491,1595,-0.3037430059284498,52.90215588723052,51.6850291639663,0.34350598379035274
MinStretchNormalized,4443,3633,981,2105,-1.0664617758000232,36.685256186824674,68.21127673363577,0.20784183132132894
AvgStretch,6618,1458,1448,1638,-0.3015036672030489,52.90697674418605,53.07841866493843,0.3498998593671585
AvgStretchNormalized,4355,3721,962,2124,-1.0973646502105567,36.33875106928999,68.82696046662346,0.2037480076006419
