commit,faults,path,Switch count,Max stretch,Min stretch,Average stretch,parParadigmEntropyBool,parParadigmGiniBool,parParadigmEntropyCount,parParadigmGiniCount,parParadigmEntropyFraction,parParadigmGiniFraction
HEAD,0,package zio - class CustomExecutorBenchmark - method defaultExecutor,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class CustomExecutorBenchmark - method customExecutor,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class CustomExecutorBenchmark - method defaultExecutorInitBoth,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - class CustomExecutorBenchmark - method customExecutorInitBoth,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - class CustomExecutorBenchmark - method zioFib,1.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - class CustomExecutorBenchmark - method zioFib - method fib,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - trait RuntimePlatformSpecific - method enableLoomBasedExecutor,0.0,4.0,4.0,4.0,1.0,0.5,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - trait RuntimePlatformSpecific - method enableAutoBlockingExecutor,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - object IsReloadableMacros - method derive,1.0,153.0,153.0,153.0,0.9182958340544896,0.4444444444444444,0.9182958340544896,0.4444444444444444,0.9182958340544896,0.4444444444444444
HEAD,0,package zio - class NonEmptyChunk - method +:,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method :+,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method ++,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method append,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method appended,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method asBitsInt,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method asBitsLong,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method asBits,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method equals,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method flatMap,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method flatten,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method groupBy,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method groupMap,5.0,11.0,9.0,10.0,1.0,0.5,1.0,0.5,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method hashCode,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method map,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapAccum,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapAccumZIO,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapZIO,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapZIOPar,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method materialize,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method prepend,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method prepended,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method reduceMapLeft,5.0,7.0,5.0,6.0,0.9910760598382222,0.49382716049382713,0.8812908992306927,0.4200000000000001,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method reduceMapRight,5.0,7.0,5.0,6.0,0.9910760598382222,0.49382716049382713,0.8812908992306927,0.4200000000000001,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method toChunk,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method toCons,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method toString,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method zip,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method zipAll,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method zipAllWith,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method zipWith,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method zipWithIndex,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method zipWithIndexFrom,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method apply,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromChunk,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromCons,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromIterable,0.0,8.0,8.0,8.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromIterableOption,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method single,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method unapplySeq,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method unapplySeq,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method toChunk,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method nonEmpty,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method |,1.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <*>,4.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <&>,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method *>,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method &>,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <*,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <&,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method as,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method collectAll,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - class ZSink - method collectAllWhileWith,2.0,31.0,31.0,31.0,0.5032583347756457,0.1975308641975309,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method collectAllWhileWith - method loop,0.0,12.0,12.0,12.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method collectLeftover,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method contramap,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method contramapChunks,2.0,9.0,9.0,9.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method contramapChunksZIO,2.0,9.0,9.0,9.0,0.5916727785823275,0.24489795918367355,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method contramapZIO,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimap,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimapChunks,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimapChunksZIO,2.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method dimapZIO,2.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method ensuringWith,2.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method ensuring,1.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method filterInput,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method filterInputZIO,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method findZIO,2.0,33.0,33.0,33.0,0.5435644431995964,0.21875,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method flatMap,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method foldSink,2.0,9.0,7.0,8.333333333333334,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method foldCauseSink,2.0,22.0,22.0,22.0,0.5916727785823275,0.24489795918367355,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method ignoreLeftover,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method map,2.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapError,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapErrorCause,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapLeftover,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method mapZIO,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method orElse,1.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideEnvironment,1.0,3.0,2.0,2.5,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideSomeEnvironment,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideLayer,1.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideSomeLayer,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method race,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method raceBoth,2.0,6.0,6.0,6.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - class ZSink - method raceWith,2.0,23.0,23.0,23.0,0.5916727785823275,0.24489795918367355,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method raceWith - method scoped,0.0,15.0,15.0,15.0,0.7219280948873623,0.31999999999999984,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method refineOrDie,4.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method refineOrDieWith,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method timed,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method splitWhere,2.0,39.0,39.0,39.0,0.5916727785823275,0.24489795918367355,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method splitWhere - method splitter,0.0,25.0,25.0,25.0,0.6500224216483541,0.2777777777777777,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method summarized,2.0,9.0,9.0,9.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method toChannel,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method zip,4.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipLeft,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipPar,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipParLeft,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipParRight,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipRight,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method zipWith,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - class ZSink - method zipWithPar,2.0,17.0,17.0,17.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAll,0.0,8.0,8.0,8.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method collectAll - method loop,0.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllN,2.0,17.0,17.0,17.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllN - method collectAllChunksN,0.0,12.0,12.0,12.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllToMap,2.0,11.0,11.0,11.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllToMapN,2.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllToMapValue,2.0,10.0,10.0,10.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllToMapValueN,2.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllToSet,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,1,package stream - object ZSink - method collectAllToSetN,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllUntil,2.0,6.0,6.0,6.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllUntilZIO,2.0,6.0,6.0,6.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method collectAllWhile,2.0,15.0,15.0,15.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllWhile - method channel,0.0,8.0,8.0,8.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllWhileZIO,2.0,17.0,17.0,17.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method collectAllWhileZIO - method channel,0.0,10.0,10.0,10.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method count,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,1,package stream - object ZSink - method die,1.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method dieMessage,1.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method drain,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method dropUntil,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method dropUntilZIO,2.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
