name,count,mean mean,mean std,std mean,std std
FunctionalScoreBool,9,4.392107194085572,2.087802751426269,14.235958724432647,12.995379702756551
HasCurrying,9,0.06115938191212346,0.07335494686375299,0.41421372582793065,0.31447865474812214
HasFunctionCalls,9,0.1944373231939967,0.19580399423383768,0.9716183583518497,1.1222287584382182
HasFunctionParameters,9,0.3329490995066646,0.29649514680835887,1.9582026383723263,1.9682191331880738
HasFunctions,9,1.1798996499865175,0.49641776909701796,3.845175682830159,2.9255285318314272
HasHigherOrderCalls,9,0.9830066103532246,0.4564331758863855,3.5145390605351845,2.838388581341407
HasInnerVariableAssignment,9,0.08605936993396596,0.07758647188094224,0.4443559915233429,0.3271356013714384
HasLazyValues,9,0.07655559139788883,0.04714791832652936,0.47395946728669475,0.26272753657078596
HasMultipleParameterLists,9,0.6915068886043766,0.6025122963029805,3.1576277623449442,3.1621820923736306
HasNestedMethods,9,0.17688440759974983,0.126745555668645,0.7809900351484992,0.578654258492029
HasOuterVariableAssignment,9,0.0945966041479195,0.08358469758264399,0.5702454511513395,0.34679591625564893
HasOuterVariableUsage,9,0.20753264293270135,0.1762457145700739,1.1763417494235808,0.83888695835794
HasPatternMatching,9,0.5669202488516539,0.09147576551346961,1.5773756181262861,0.5038381779181882
HasPointsBool,9,2.228054839228145,0.6852445619322941,5.556258638873808,3.4393152384118975
HasSideEffectCalls,9,0.5327972701566063,0.3315510073165056,1.6435774111641923,0.8378453071745259
HasSideEffectFunctions,9,0.08472394033959739,0.041975965285568816,0.44197919074084685,0.17042147559267268
HasSideEffects,9,0.7811970231119835,0.4177062028488733,2.2817303095120014,0.9877205648126973
HasVariableDefinitions,9,0.0711564237990928,0.06929148876291756,0.3903221020010019,0.2939234727606795
HasVariables,9,0.26142534736609047,0.2058771404743376,1.2527069340498784,0.8567785073077424
ImperativeScoreBool,9,2.556204219749759,1.5669398231568161,7.828087720878218,4.072852395000773
IsFunction,9,0.09504099884733255,0.07630698308756081,0.5399828913727106,0.35440553322491847
IsNested,9,0.0006401533218726778,0.0010657019697745392,0.024603788919303742,0.040921131056905015
IsRecursive,9,0.03310684051017013,0.022784729586129402,0.253940029482975,0.12973602667004333
IsSideEffect,9,0.43671559796180154,0.31900978653211687,1.565830879969987,0.9514943101056117
ParadigmScoreBool,9,0.9976818018186595,0.7290858223760556,4.464645793495517,3.0173156406549397
