name,count,percentage_faulty,percentage_total_faults
CommentDensity,9,12.339331619537274,31.8546978693678
CommentLinesOfCode,9,12.339331619537274,31.8546978693678
CyclomaticComplexity,9,3.660540208985958,100.0
DepthOfNesting,9,9.746328437917224,34.77633477633478
LinesOfCode,9,3.660540208985958,100.0
NumberOfPatternVariables,9,9.727759425902722,32.03463203463203
OutDegree,9,3.7925696594427247,95.021645021645
OutDegreeDistinct,9,3.7925696594427247,95.021645021645
ParadigmGiniFraction,9,3.833157338965153,49.5
PatternSize,9,9.746328437917224,34.77633477633478
SourceLinesOfCode,9,3.660540208985958,100.0
