name,count,mean,std
CountCurrying,9,0.0664335664335664,0.5380212816433418
CountFunctionCalls,9,0.185162663423533,0.8835049507963361
CountFunctionParameters,9,0.3293554271815141,1.5465359751350145
CountFunctions,9,3.722408026755853,10.065517920894624
CountHigherOrderCalls,9,2.7316813621161447,6.84177668418445
CountInnerVariableAssignment,9,0.1724461105904405,0.9395176765973672
CountLazyValues,9,0.1327147173068623,0.8459563446241095
CountNestedDepth,9,0.0,0.0
CountNestedMethods,9,0.4243792325056433,1.340135949235223
CountOuterVariableAssignment,9,0.0666666666666666,0.8259656477947077
CountOuterVariableUsage,9,0.4023391812865497,2.722984527952346
CountParameterLists,9,0.8631677600749765,3.635350496594197
CountPatternMatching,9,1.2883095165703862,4.085507220254487
CountRecursiveCalls,9,0.0620689655172413,0.4268576642913628
CountSideEffectCalls,9,1.371595655806182,5.196887345458482
CountSideEffectFunctions,9,0.1448152562574493,0.7608765042027853
CountSideEffects,9,4.281665190434013,11.816710416085254
CountVariableDefinitions,9,0.0871602624179943,0.6648225377079844
CountVariables,9,1.0702054794520548,4.88561825871375
FunctionalScoreCount,9,9.788917604134996,24.56797027379526
HasPointsCount,9,2.8144871241547977,5.825796159456535
ImperativeScoreCount,9,9.410835214446951,29.537765847792464
IsFunction,9,0.1120401337792642,0.6166749994260968
IsSideEffect,9,0.4712643678160919,1.3956951772657338
ParadigmScoreCount,9,1.5051546391752575,4.42471410490588
