commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package zio - class NonEmptyChunk - method zipWith,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method zipWithIndex,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method zipWithIndexFrom,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method apply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromChunk,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromCons,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,2.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromIterable,2.0,0.0,10.0,9.0,0.0,0.0,7.0,7.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromIterableOption,2.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method single,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method unapplySeq,3.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,5.0,1.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method unapplySeq,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method toChunk,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method nonEmpty,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method |,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <*>,1.0,0.0,8.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <&>,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method *>,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method &>,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <*,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method <&,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method as,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method collectAll,1.0,0.0,2.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - class ZSink - method collectAllWhileWith,5.0,18.0,32.0,32.0,0.0,0.0,51.0,22.0,12.0,4.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method collectAllWhileWith - method loop,4.0,11.0,15.0,15.0,0.0,0.0,18.0,11.0,6.0,2.0,-0.0,1.0
