name,count,percentage_faulty,percentage_total_faults
Average stretch,9,5.427974947807933,71.42857142857143
Max stretch,9,5.427974947807933,71.42857142857143
Min stretch,9,5.427974947807933,71.42857142857143
Switch count,9,6.557377049180328,36.5
parParadigmEntropyBool,9,8.403361344537815,26.551226551226552
parParadigmEntropyCount,9,8.47457627118644,26.551226551226552
parParadigmEntropyFraction,9,2.135231316725979,0.5385996409335727
parParadigmGiniBool,9,3.9145907473309607,50.46296296296296
parParadigmGiniCount,9,4.038748137108793,49.0
parParadigmGiniFraction,9,3.833157338965153,49.5
