name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,793,52,741,6.557377049180328,44.44444444444444
Max stretch,1916,104,1812,5.427974947807933,88.88888888888889
Min stretch,1916,104,1812,5.427974947807933,88.88888888888889
Average stretch,1916,104,1812,5.427974947807933,88.88888888888889
parParadigmEntropyBool,119,10,109,8.403361344537815,8.547008547008547
parParadigmGiniBool,2116,22,2094,1.0396975425330812,18.803418803418804
parParadigmEntropyCount,118,10,108,8.47457627118644,8.547008547008547
parParadigmGiniCount,2116,22,2094,1.0396975425330812,18.803418803418804
parParadigmEntropyFraction,17,0,17,0.0,0.0
parParadigmGiniFraction,2779,47,2732,1.6912558474271322,40.17094017094017
