name,count,mean,std
FunctionalScoreBool,9,0.9257130736366608,1.1603084044223435
HasCurrying,9,0.0082160717298823,0.0682977444581844
HasFunctionCalls,9,0.0347695810170529,0.15563378357647
HasFunctionParameters,9,0.0383599802885703,0.1697063298076319
HasFunctions,9,0.2495951461489809,0.3575182922417506
HasHigherOrderCalls,9,0.1899874449462039,0.3312303835853393
HasInnerVariableAssignment,9,0.01410654279654,0.094075737133149
HasLazyValues,9,0.0125294695429165,0.0816135392531168
HasMultipleParameterLists,9,0.1445688230617733,0.3119753148692356
HasNestedMethods,9,0.0438938835137988,0.1682310013417113
HasOuterVariableAssignment,9,0.0188921787697709,0.1017283128876384
HasOuterVariableUsage,9,0.033831730065889,0.1581216374571673
HasPatternMatching,9,0.14162886622841,0.2859035705125342
HasPointsBool,9,0.467082114588734,0.4298319557771506
HasSideEffectCalls,9,0.1243378071354053,0.2597832549127465
HasSideEffectFunctions,9,0.017446710995098,0.0984630408397595
HasSideEffects,9,0.1904255703805398,0.3339649326409303
HasVariableDefinitions,9,0.0135289894174443,0.0916435460380637
HasVariables,9,0.0421871458549353,0.1780230386660201
ImperativeScoreBool,9,0.5566893259626907,1.0760705139111024
IsFunction,9,0.0153687461941952,0.1017418039262953
IsNested,9,0.0,0.0
IsRecursive,9,0.0049284529043126,0.0527282412427649
IsSideEffect,9,0.0897203042098343,0.2416157298723434
ParadigmScoreBool,9,0.2728584461654518,0.4865549861009505
