commit,faults,path,Switch count,Max stretch,Min stretch,Average stretch,parParadigmEntropyBool,parParadigmGiniBool,parParadigmEntropyCount,parParadigmGiniCount,parParadigmEntropyFraction,parParadigmGiniFraction
HEAD,0,package connectable - object ColonLessGreaterEq - method canFirrtlConnect,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package connectable - object Connection - method connect,1.0,7.0,7.0,7.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package connectable - object Connection - method connect,3.0,13.0,12.0,12.4,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package connectable - object Connection - method doConnection,19.0,109.0,109.0,109.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package connectable - object Connection - method doConnection - method doConnection,17.0,89.0,88.0,88.5,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package connectable - object Connection - method checkAnalog,3.0,12.0,12.0,12.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package connectable - object Connection - method connectAnalog,3.0,9.0,9.0,9.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package internal - class RuntimeDeprecatedTransform - method runtimeDeprecated,0.0,24.0,24.0,24.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package internal - class chiselRuntimeDeprecated - macro method macroTransform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - object Dependency - method apply,0.0,2.0,2.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - object Dependency - method apply,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package options - object Dependency - method apply,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - object Dependency - method fromTransform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - object Dependency - method isSingleton,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - class Dependency - method getObject,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package options - class Dependency - method getSimpleName,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package options - class Dependency - method getName,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package options - class Dependency - method safeConstruct,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait TransformLike - method name,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait TransformLike - method transform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait IdentityLike - method internalTransform,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package options - trait IdentityLike - method transform,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package options - trait DependencyAPI - method prerequisites,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait DependencyAPI - method optionalPrerequisites,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait DependencyAPI - method optionalPrerequisiteOf,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait DependencyAPI - method invalidates,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait Translator - method aToB,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait Translator - method bToA,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait Translator - method internalTransform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package options - trait Translator - method transform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package internal - object instantiableMacro - method impl,2.0,87.0,87.0,87.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package internal - object instantiableMacro - method impl - method processBody,1.0,26.0,26.0,26.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package internal - class instantiable - macro method macroTransform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - class ChiselStage - method prerequisites,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - class ChiselStage - method optionalPrerequisites,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - class ChiselStage - method optionalPrerequisiteOf,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - class ChiselStage - method invalidates,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - class ChiselStage - <$anon: firrtl.options.Shell with circt.stage.CLI> - method includeLoggerOptions,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - class ChiselStage - method run,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method phase,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method emitCHIRRTL,3.0,20.0,20.0,20.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method emitCHIRRTLFile,0.0,6.0,6.0,6.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method convert,0.0,14.0,14.0,14.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method emitFIRRTLDialect,0.0,15.0,15.0,15.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method emitHWDialect,0.0,15.0,15.0,15.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method emitSystemVerilog,0.0,15.0,15.0,15.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package stage - object ChiselStage - method emitSystemVerilogFile,0.0,7.0,7.0,7.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package svsim - object CommonCompilationSettings - object VerilogPreprocessorDefine - method apply,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package svsim - object CommonCompilationSettings - object VerilogPreprocessorDefine - method apply,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package svsim - object CommonCompilationSettings - class VerilogPreprocessorDefine - method toCommandlineArgument,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package svsim - trait Backend - method generateParameters,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package naming - class DebugTransforms - method dump,1.0,2.0,2.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package naming - class DebugTransforms - method treedump,1.0,2.0,2.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package naming - class NamingTransforms - trait ValNameTransformer - method transform,0.0,9.0,9.0,9.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package naming - class NamingTransforms - class ClassBodyTransformer - method transform,0.0,19.0,19.0,19.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package naming - class NamingTransforms - class MethodTransformer - method transform,0.0,5.0,5.0,5.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package naming - class NamingTransforms - method transformClassBody,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package naming - class NamingTransforms - method transformHierarchicalMethod,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package naming - class dump - macro method macroTransform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package naming - class treedump - macro method macroTransform,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - class SimulatedModule - method wrapped,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,1,package chisel3 - package simulator - package object simulator - class AnySimulatedModule - method port,0.0,11.0,11.0,11.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - class AnySimulatedModule - method completeSimulation,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class AnySimulatedModule - method willEvaluate,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class AnySimulatedModule - method willPoke,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class AnySimulatedModule - method willPeek,0.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - object AnySimulatedModule - method withValue,1.0,2.0,2.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - object AnySimulatedModule - method current,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ChiselSimulation - method runElaboratedModule,0.0,10.0,10.0,10.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ChiselWorkspace - method elaborateGeneratedModule,12.0,106.0,106.0,106.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ChiselWorkspace - method elaborateGeneratedModule - method moveFiles,3.0,22.0,22.0,22.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ChiselWorkspace - method elaborateGeneratedModule - method maybeMoveFiles,1.0,2.0,2.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - package simulator - package object simulator - class ChiselWorkspace - method elaborateGeneratedModule - method leafPorts,0.0,24.0,24.0,24.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package firrtl - package annotations - trait Annotation - method update,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package firrtl - package annotations - trait Annotation - method serialize,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package firrtl - package annotations - trait NoTargetAnnotation - method update,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
