commit,faults,path,Switch count,Max stretch,Min stretch,Average stretch,parParadigmEntropyBool,parParadigmGiniBool,parParadigmEntropyCount,parParadigmGiniCount,parParadigmEntropyFraction,parParadigmGiniFraction
HEAD,0,package util - object JGitUtil - method getShaByRef,0.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package util - object JGitUtil - method openFile,0.0,18.0,18.0,18.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - object JGitUtil - method openFile,0.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - object JGitUtil - method getLfsAttributes,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package util - object AuthUtil - method requireAuth,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - object AuthUtil - method decodeAuthHeader,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package service - trait MilestonesService - method createMilestone,2.0,13.0,12.0,12.666666666666666,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,2,package service - trait MilestonesService - method updateMilestone,2.0,4.0,4.0,4.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package service - trait MilestonesService - method openMilestone,1.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package service - trait MilestonesService - method closeMilestone,1.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package service - trait MilestonesService - method deleteMilestone,2.0,2.0,2.0,2.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package service - trait MilestonesService - method getMilestone,2.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package service - trait MilestonesService - method getMilestonesWithIssueCount,2.0,18.0,18.0,18.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package service - trait MilestonesService - method getMilestones,2.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package service - trait MilestonesService - method getApiMilestone,2.0,8.0,8.0,8.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package servlet - class GitRepositoryServlet - method init,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package servlet - class GitRepositoryServlet - method service,0.0,15.0,15.0,15.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package servlet - class GitRepositoryServlet - method withLockRepository,0.0,6.0,6.0,6.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,2,package servlet - class GitRepositoryServlet - method serviceGitLfsBatchAPI,3.0,62.0,62.0,62.0,-0.0,1.0,-0.0,1.0,-0.0,0.0
HEAD,1,package servlet - class GitBucketRepositoryResolver - method open,0.0,9.0,9.0,9.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
