name,count,mean mean,mean std,std mean,std std
FunctionalScoreBool,9,1.5055706138368783,0.3118389575254977,1.6630046492649646,0.17465857113530572
HasCurrying,9,0.027344137404514135,0.029499133986038012,0.14107193477131197,0.08177893381939196
HasFunctionCalls,9,0.09472476353073683,0.04483626948525142,0.28439278385621425,0.05972799122140675
HasFunctionParameters,9,0.10404423738153547,0.04812894165696851,0.29596407912745526,0.06418295963980701
HasFunctions,9,0.40681017739503633,0.08169504945106622,0.4852596307945281,0.013612548370877237
HasHigherOrderCalls,9,0.34690678294459387,0.08049356009716242,0.4695199423782211,0.025969004794510035
HasInnerVariableAssignment,9,0.0500561597201666,0.024886522194172714,0.21136459744229164,0.05170286774817659
HasLazyValues,9,0.043746251960606546,0.03172670308827428,0.19046859070467648,0.07269137512212041
HasMultipleParameterLists,9,0.1985709539224425,0.12949929831355236,0.36865362432235327,0.097764851880844
HasNestedMethods,9,0.09470851506154793,0.040420545678294596,0.2852962837343873,0.05791122736814879
HasOuterVariableAssignment,9,0.04815241527100045,0.03574215937191154,0.2016028029537582,0.06785515572566952
HasOuterVariableUsage,9,0.06571591741628284,0.04357283474442359,0.23551977913185024,0.06950309295576837
HasPatternMatching,9,0.2773270874458624,0.024832714105358002,0.44717480044938884,0.011977661290893787
HasPointsBool,9,0.6380544616382099,0.07865180305875895,0.47414213334103256,0.031520084023616245
HasSideEffectCalls,9,0.2168930674340201,0.09569787899334092,0.39563105610456684,0.07766372327887672
HasSideEffectFunctions,9,0.053689678113157405,0.026587444941136434,0.2156842807364992,0.06465858517752585
HasSideEffects,9,0.28162890227770454,0.10953105136797413,0.4331251053334483,0.06928792100609381
HasVariableDefinitions,9,0.04381680802724131,0.026781047944560293,0.19486067973133375,0.0612195128610843
HasVariables,9,0.09532631982682216,0.04946164146036237,0.28261079072440537,0.06938149271124826
ImperativeScoreBool,9,0.9738752190759171,0.43569379604039216,1.7165601738397918,0.3875526089234942
IsFunction,9,0.045751817174387956,0.02980607305578018,0.19632595940678121,0.07009547719545606
IsNested,9,0.0003467860389375889,0.00048597916150565514,0.011958415757815678,0.015137397927278421
IsRecursive,9,0.02182284254631031,0.013451753785973467,0.1393140509735584,0.044974164266616705
IsSideEffect,9,0.15724987698420584,0.08822071185022073,0.3428126989204294,0.09620064236705322
ParadigmScoreBool,9,0.4269444981817681,0.12055623977448644,0.553362508247615,0.028903791615229272
