name,count,mean,std
FunctionalScoreBool,9,1.48955223880597,1.6576021864399373
HasCurrying,9,0.0207468879668049,0.1426097880644239
HasFunctionCalls,9,0.078064012490242,0.2683246629676818
HasFunctionParameters,9,0.0839188134270101,0.2773201476921056
HasFunctions,9,0.3933975240715268,0.4888400676390989
HasHigherOrderCalls,9,0.3191196698762035,0.4664564214344265
HasInnerVariableAssignment,9,0.04321608040201,0.2034454443720204
HasLazyValues,9,0.0378669056688326,0.1908957000489225
HasMultipleParameterLists,9,0.2228335625859697,0.4164340334511036
HasNestedMethods,9,0.0904522613065326,0.2869728506049285
HasOuterVariableAssignment,9,0.0509641873278236,0.2200003917948698
HasOuterVariableUsage,9,0.061898211829436,0.2411364863555367
HasPatternMatching,9,0.2707468879668049,0.4445762473523841
HasPointsBool,9,0.6125924266188663,0.4872126158464052
HasSideEffectCalls,9,0.2520661157024793,0.4343486148988782
HasSideEffectFunctions,9,0.064516129032258,0.2458117376181575
HasSideEffects,9,0.3082191780821918,0.4619837128454711
HasVariableDefinitions,9,0.0388059701492537,0.1934211562286441
HasVariables,9,0.0884422110552763,0.2840797303333239
ImperativeScoreBool,9,1.0412060301507535,1.7788469104305311
IsFunction,9,0.0347384855581576,0.1831524403171071
IsNested,9,0.0,0.0
IsRecursive,9,0.0206327372764786,0.1422492910353944
IsSideEffect,9,0.1728650137741046,0.3782608115929756
ParadigmScoreBool,9,0.4415405777166437,0.5545522535014864
