commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package internal - class Scope - method isRoot,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class Scope - method level,3.0,4.0,7.0,7.0,0.0,0.0,4.0,3.0,6.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method level - method go,3.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,6.0,1.0,-0.0,0.0
HEAD,0,package internal - class Scope - method register,3.0,8.0,5.0,5.0,0.0,0.0,5.0,2.0,16.0,2.0,-0.0,1.0
HEAD,0,package internal - class Scope - method open,10.0,10.0,51.0,33.0,18.0,0.35294117647058826,30.0,2.0,31.0,5.0,-0.0,1.0
HEAD,1,package internal - class Scope - method acquireResource,9.0,6.0,35.0,34.0,0.0,0.0,41.0,4.0,33.0,4.0,-0.0,0.0
HEAD,0,package internal - class Scope - method releaseChildScope,3.0,3.0,5.0,5.0,0.0,0.0,2.0,2.0,16.0,2.0,-0.0,1.0
HEAD,0,package internal - class Scope - method resources,3.0,2.0,5.0,5.0,0.0,0.0,1.0,1.0,15.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method traverseError,2.0,1.0,9.0,9.0,0.0,0.0,7.0,2.0,4.0,1.0,-0.0,0.0
HEAD,0,package internal - class Scope - method close,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class Scope - method close_,5.0,17.0,11.0,11.0,0.0,0.0,21.0,2.0,17.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method openScope,3.0,3.0,5.0,5.0,0.0,0.0,2.0,2.0,14.0,0.0,-0.0,1.0
HEAD,0,package internal - class Scope - method openAncestor,3.0,3.0,7.0,7.0,0.0,0.0,5.0,4.0,14.0,0.0,-0.0,1.0
HEAD,0,package internal - class Scope - method ancestors,3.0,4.0,9.0,8.0,0.0,0.0,4.0,3.0,6.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method ancestors - method go,3.0,4.0,5.0,5.0,0.0,0.0,3.0,3.0,6.0,1.0,-0.0,0.0
HEAD,0,package internal - class Scope - method descendsFrom,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class Scope - method findSelfOrAncestor,4.0,2.0,11.0,9.0,0.0,0.0,5.0,4.0,6.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method findSelfOrAncestor - method go,4.0,2.0,7.0,6.0,0.0,0.0,4.0,4.0,6.0,1.0,-0.0,0.0
HEAD,0,package internal - class Scope - method findInLineage,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class Scope - method findSelfOrChild,12.0,11.0,25.0,22.0,0.0,0.0,21.0,4.0,45.0,5.0,-0.0,1.0
HEAD,0,package internal - class Scope - method findSelfOrChild - method go,9.0,11.0,17.0,15.0,0.0,0.0,15.0,3.0,30.0,4.0,-0.0,0.0
HEAD,0,package internal - class Scope - method shiftScope,3.0,7.0,15.0,10.0,0.0,0.0,8.0,1.0,5.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method findStepScope,8.0,7.0,18.0,16.0,0.0,0.0,14.0,6.0,17.0,3.0,-0.0,1.0
HEAD,0,package internal - class Scope - method findStepScope - method go,3.0,2.0,5.0,5.0,0.0,0.0,2.0,2.0,6.0,1.0,-0.0,0.0
HEAD,0,package internal - class Scope - method interruptWhen,3.0,10.0,18.0,17.0,1.0,0.05555555555555555,10.0,5.0,6.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method interruptWhen - <$anon: <error>> - method cancel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class Scope - method interruptWhen - <$anon: <error>> - method join,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,2,package internal - class Scope - method isInterrupted,3.0,3.0,7.0,7.0,0.0,0.0,3.0,1.0,5.0,1.0,-0.0,1.0
HEAD,3,package internal - class Scope - method interruptibleEval,3.0,7.0,7.0,7.0,0.0,0.0,7.0,2.0,5.0,1.0,-0.0,1.0
HEAD,0,package internal - class Scope - method lease,4.0,13.0,13.0,12.0,0.0,0.0,16.0,4.0,22.0,3.0,-0.0,1.0
HEAD,0,package internal - class Scope - method toString,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object Scope - method apply,1.0,0.0,7.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package internal - object Scope - method newRoot,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object Scope - object State - class Open - method unregisterChild,3.0,4.0,5.0,5.0,0.0,0.0,5.0,3.0,9.0,1.0,-0.0,1.0
HEAD,0,package internal - object Scope - object State - method initial,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object Scope - object State - method closed,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - class PosixPermissions - method add,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - class PosixPermissions - method remove,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - class PosixPermissions - method equals,3.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,5.0,1.0,-0.0,0.0
HEAD,0,package fs2 - package io - package file - class PosixPermissions - method hashCode,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - class PosixPermissions - method toString,10.0,0.0,13.0,13.0,0.0,0.0,29.0,5.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - class PosixPermissions - method toOctalString,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - object PosixPermissions - method apply,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - object PosixPermissions - method unapply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - object PosixPermissions - method fromInt,2.0,0.0,4.0,3.0,1.0,0.25,5.0,5.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - object PosixPermissions - method fromOctal,2.0,2.0,7.0,7.0,0.0,0.0,2.0,2.0,3.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package io - package file - object PosixPermissions - method fromString,12.0,10.0,16.0,16.0,0.0,0.0,39.0,7.0,7.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package net - package tls - trait S2nConnection - method handshake,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - package net - package tls - trait S2nConnection - method read,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
