name,count,precision,recall,mcc
FunctionalScoreBool,8,14.436076446977175,52.374633110597635,0.0977426971659354
HasCurrying,8,10.984156681069683,6.991979756390461,0.018510788705374898
HasFunctionCalls,8,16.009547116227075,10.697103015333951,0.0312061175419133
HasFunctionParameters,8,8.278137404638962,41.451149425287355,0.029510638075219947
HasFunctions,8,13.402509042163036,46.04008971124193,0.07319131848995314
HasHigherOrderCalls,8,14.046324470054149,43.21706824412062,0.08583848181766765
HasInnerVariableAssignment,8,15.645463483406608,4.960970464135022,0.054770556555186006
HasLazyValues,8,13.643410852713178,10.8592716795768,0.028637657297600698
HasMultipleParameterLists,8,9.955415091145099,36.90813175501801,0.0746653782432362
HasNestedMethods,8,15.734925549167036,13.516581763918907,0.09173811248742125
HasOuterVariableAssignment,8,8.987946799667498,58.19965808235122,0.0144179831184986
HasOuterVariableUsage,8,10.997182762087743,21.07028150387304,0.03974897153523995
HasPatternMatching,8,17.162552384841778,32.04339044972728,0.1462064094579218
HasPointsBool,8,9.717393810885202,83.55696202531647,0.1207853747888417
HasSideEffectCalls,8,13.690073131094259,41.04945981390121,0.12271837697656701
HasSideEffectFunctions,8,25.0,10.914907843864203,0.12715928804918364
HasSideEffects,8,9.387744803313883,48.45455041466609,0.1060278594987798
HasVariableDefinitions,8,12.573454327381029,5.6749480445871905,0.0329779590813624
HasVariables,8,12.535105346861787,17.621890547263682,0.0619982441990431
ImperativeScoreBool,8,9.290804295530968,49.00425578350065,0.10715103024877734
IsFunction,8,8.953603969516006,72.21335272328744,0.0106256006316995
IsNested,8,7.984041147993366,7.595536959553696,0.01131230349912895
IsRecursive,8,9.932903450679678,5.049761704513597,0.027277521454265652
IsSideEffect,8,9.031883609348398,31.158609777389785,0.04501340196920265
ParadigmScoreBool,8,10.115127493997848,55.9529130444499,0.06352876299794274
