name,count,mean,std
FractionCurrying,9,0.0031746031746031,0.0562588117573404
FractionFunctionCalls,9,0.0203720106288751,0.1413005098245697
FractionFunctions,9,0.1425694144727377,0.3496457784450947
FractionHigherOrderCalls,9,0.0656641604010025,0.2477148182424191
FractionInnerVariableAssignment,9,0.0,0.0
FractionLazyValues,9,0.0081283268594446,0.0897933023041698
FractionNestedMethods,9,0.0,0.0
FractionOuterVariableAssignment,9,0.0022988505747126,0.0479187351360953
FractionOuterVariableUsage,9,0.0126436781609195,0.1117952650567204
FractionPatternMatching,9,0.0245614035087719,0.1547971080688469
FractionRecursiveCalls,9,0.0,0.0
FractionSideEffectCalls,9,0.0160919540229885,0.1259016395249587
FractionSideEffectFunctions,9,0.0025684931506849,0.0506368569052974
FractionSideEffects,9,0.172945205479452,0.3783619007365918
FractionVariableDefinitions,9,0.0,0.0
FractionVariables,9,0.0126436781609195,0.1117952650567204
FunctionalScoreFraction,9,0.5454545454545454,0.8929298953195888
HasFunctionParameters,9,0.1007145028884159,0.3009617529089044
HasMultipleParameterLists,9,0.2370021283064761,0.4252597626744415
HasPointsFraction,9,0.4666311948920644,0.4972126461615072
ImperativeScoreFraction,9,0.4126712328767123,0.8894836054063249
IsFunction,9,0.0560200668896321,0.2299692129349597
IsNested,9,0.0,0.0
IsSideEffect,9,0.1712328767123287,0.3768736962316974
ParadigmScoreFraction,9,0.2756849315068493,0.530688905562158
