commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,0,package controller - trait AccountControllerBase - method accountWebHook,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebHook - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents - <$anon: <error>> - method convert,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method _headers,0.0,3.0,1.0,3.0,1.0,3.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method existsAccount,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method existsAccount - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method uniqueRepository,0.0,15.0,1.0,15.0,1.0,15.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method uniqueRepository - <$anon: <error>> - method validate,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method members,0.0,8.0,1.0,8.0,1.0,8.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method members - <$anon: <error>> - method validate,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validPublicKey,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validPublicKey - <$anon: <error>> - method validate,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validGpgPublicKey,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validGpgPublicKey - <$anon: <error>> - method validate,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validAccountName,0.0,8.0,1.0,8.0,1.0,8.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validAccountName - <$anon: <error>> - method validate,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method isGroupManager,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,0,package controller - trait PullRequestsControllerBase - method getOriginRepositoryName,0.0,26.0,1.0,26.0,1.0,26.0,1.0
HEAD,0,package controller - trait PullRequestsControllerBase - method searchPullRequests,0.0,35.0,1.0,35.0,1.0,35.0,1.0
HEAD,0,package controller - trait PullRequestsControllerBase - method isManageable,0.0,3.0,1.0,3.0,1.0,3.0,1.0
HEAD,0,package controller - trait PullRequestsControllerBase - method isEditable,0.0,8.0,1.0,8.0,1.0,8.0,1.0
HEAD,0,package service - trait IssuesService - method getIssue,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package service - trait IssuesService - method getOpenIssues,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package service - trait IssuesService - method getComments,0.0,2.0,1.0,2.0,1.0,2.0,1.0
