name,count,precision,recall,mcc
Average stretch,8,16.512813965007794,46.40703319195714,0.2044588116210985
Max stretch,8,16.451264609397665,46.423235395456814,0.2043948117551854
Min stretch,8,16.549263260196486,46.37462878495779,0.2044588116210985
Switch count,8,16.48732368453964,37.016138818104594,0.1533068275061776
parParadigmEntropyBool,8,12.484445596772975,32.713064199607516,0.118819101077686
parParadigmEntropyCount,8,13.65679404895091,30.680543874404265,0.1289836801282765
parParadigmEntropyFraction,8,8.184805306473406,97.53436318085528,0.0100872334711831
parParadigmGiniBool,8,9.563796460790194,61.766150152771715,0.08657694060616339
parParadigmGiniCount,8,9.921121738781823,67.76461836387682,0.1079537650861223
parParadigmGiniFraction,8,9.984829176847711,53.71422161345173,0.06572004549786631
