name,count,mean mean,mean std,std mean,std std
Average stretch,9,5.440312070505235,1.684990119332993,23.485014448294596,24.684056698516887
Max stretch,9,5.448692130258757,1.6935569644919128,23.49185583035485,24.68284191854718
Min stretch,9,5.430671270959869,1.6748476103317391,23.476981243251103,24.68565745063864
Switch count,9,0.4975879459341948,0.28551324810359013,1.5710725394593605,0.7291191115657388
parParadigmEntropyBool,9,0.10428817142244629,0.05112075997362075,0.2785974679035915,0.07046331576150944
parParadigmEntropyCount,9,0.08444985320109545,0.045679371961521394,0.24165472745765357,0.064991085210396
parParadigmEntropyFraction,9,0.023261923111118056,0.02591647038816022,0.12695732455208691,0.07062086587049461
parParadigmGiniBool,9,0.4979899422000774,0.10273952428984293,0.4608481773012121,0.020843861275082327
parParadigmGiniCount,9,0.48827460709112747,0.10462746945121368,0.46524046564331756,0.020906690237328145
parParadigmGiniFraction,9,0.6454303838525973,0.10097290866640432,0.46115591361134517,0.033600727751565
