name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,23522,2409,21113,10.241476064960462
Chisel,1964,84,1880,4.276985743380855
FS2,2430,124,2306,5.102880658436214
Gatling,4086,1049,3037,25.673029858051883
Gitbucket,1946,296,1650,15.210688591983557
Http4s,1814,134,1680,7.386990077177508
Lila,28525,8676,19849,30.415425065731817
Metals,4231,785,3446,18.553533443630347
SynapseML,1598,6,1592,0.37546933667083854
ZIO,8846,598,8248,6.760117567262039
