name,count,precision,recall,mcc
FunctionalScoreBool,8,36.116116936071066,48.89584706657878,0.3015401240598734
HasCurrying,8,32.651321398124466,10.49015116811727,0.04654398192360685
HasFunctionCalls,8,31.892280293412334,23.499535639656372,0.1440340476737073
HasFunctionParameters,8,32.51648426347631,17.402851551579538,0.10654721422863794
HasFunctions,8,37.488449988449986,44.126921560898694,0.24022189256876594
HasHigherOrderCalls,8,38.18252044431422,50.889914304548455,0.26645614895864134
HasInnerVariableAssignment,8,32.10363277949873,15.22035601492966,0.11901474197880174
HasLazyValues,8,44.09763313609467,9.802697488724771,0.14310791367939524
HasMultipleParameterLists,8,32.57869894560542,31.549435614476266,0.1704321031013693
HasNestedMethods,8,34.61700336700336,32.00488624217438,0.21889483282081262
HasOuterVariableAssignment,8,29.537037037037038,24.751792608935467,0.02859464248351995
HasOuterVariableUsage,8,35.972877659846326,12.54762410198541,0.11881990396618035
HasPatternMatching,8,30.27932643076573,50.071191267204554,0.2671537980845854
HasPointsBool,8,30.115927052556508,47.436259119806046,0.2527626228942782
HasSideEffectCalls,8,30.05230986246621,41.48506860371267,0.2422080772589573
HasSideEffectFunctions,8,41.28115620514159,16.518687637409098,0.2045890783614681
HasSideEffects,8,26.586408640864086,43.70945804561624,0.22496991157754753
HasVariableDefinitions,8,41.971326164874554,13.465160075329567,0.12455151420238514
HasVariables,8,36.49732620320855,25.45329128892393,0.20957293886587408
ImperativeScoreBool,8,28.595333994902028,38.66960761550963,0.2228180002078887
IsFunction,8,21.0,13.639617676650413,0.06212235043207136
IsNested,8,0.0,0.0,0.0
IsRecursive,8,36.24186046511628,7.388976481408488,0.09766129323745945
IsSideEffect,8,24.03728094653421,30.37544343713047,0.12323591522223146
ParadigmScoreBool,8,28.69047619047619,41.65344205994612,0.20344911400160645
