name,count,mean mean,mean std,std mean,std std
CountCurrying,9,0.024152002749887786,0.0319661104668211,0.2078967253676961,0.1985666237722121
CountFunctionCalls,9,0.06852221720123881,0.059631930938451566,0.3888130191964598,0.28358204577609236
CountFunctionParameters,9,0.08731134284137922,0.06283937909756405,0.2999959863957187,0.12243049643326634
CountFunctions,9,0.7978217531602316,0.43050092095158693,2.980433527761066,3.2181596546366746
CountHigherOrderCalls,9,0.47847560402301476,0.2514772643014218,2.2470468781522968,3.1267449766187143
CountInnerVariableAssignment,9,0.053758476214232735,0.04944694000037741,0.5601536734004645,0.33214622923696263
CountLazyValues,9,0.10259129971968453,0.21940891363317858,2.014877816794341,5.162050622605928
CountNestedDepth,9,0.03391830994078479,0.020230241200433173,0.18679486879736257,0.07086294626096715
CountNestedMethods,9,0.08797114874556494,0.06270424777866544,0.6188618228175051,0.4396800005121639
CountOuterVariableAssignment,9,0.03745779216225431,0.03209520971905151,0.3185473153109254,0.1629611652027307
CountOuterVariableUsage,9,0.13044685537005313,0.11307150946047359,0.838490676423921,0.4919159964655179
CountParameterLists,9,0.17511079065153085,0.1280610412791518,0.38053870267500145,0.14572136725512902
CountPatternMatching,9,0.2706193248640274,0.09119448167994394,1.497494187043638,1.8373469450491922
CountRecursiveCalls,9,0.030897013114536583,0.026620671204050112,0.2992618754047428,0.2179670653894419
CountSideEffectCalls,9,0.3675147990530431,0.22776882745811353,1.7409353553380023,0.7936881194671469
CountSideEffectFunctions,9,0.03239795120286414,0.01820360353547761,0.30418063818063334,0.20100967491848543
CountSideEffects,9,0.8608013365388901,0.5380416764841718,3.479122511793323,1.539566794916853
CountVariableDefinitions,9,0.030691568416160345,0.028158986370035458,0.26770772508157387,0.1534849613116518
CountVariables,9,0.3249982111385605,0.23752950115818325,2.1502916820452245,0.945520024274544
FunctionalScoreCount,9,2.1808529246242423,1.018886877055575,8.402105498009604,8.753130295850791
HasPointsCount,9,0.5511618768471594,0.1141139269373521,0.48530978369510347,0.0197220069901027
ImperativeScoreCount,9,1.9440398619860408,1.1766027335460008,8.256321232979616,3.262612759144984
IsFunction,9,0.023462117612360278,0.020314690497842413,0.1366809950626197,0.06597371024805632
IsSideEffect,9,0.10597287188998192,0.07687771064168028,0.28109241878033436,0.10870161579098261
ParadigmScoreCount,9,0.2669251227905891,0.16822631063095167,0.586448821363151,0.060597075181583186
