commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,1,package server - class EmberServerBuilder - method copy,1.0,0.0,43.0,43.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package server - class EmberServerBuilder - method withHostOption,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withHost,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withoutHost,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withPort,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withHttpApp,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withHttpWebSocketApp,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package server - class EmberServerBuilder - method withSocketGroup,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withTLS,1.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withoutTLS,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withIdleTimeout,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withShutdownTimeout,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withConnectionErrorHandler,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package server - class EmberServerBuilder - method withOnError,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,-0.0,0.0
HEAD,0,package server - class EmberServerBuilder - method withErrorHandler,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package server - class EmberServerBuilder - method withOnWriteFailure,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package server - class EmberServerBuilder - method withMaxConcurrency,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withMaxConnections,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withReceiveBufferSize,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,1,package server - class EmberServerBuilder - method withMaxHeaderSize,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,1,package server - class EmberServerBuilder - method withRequestHeaderReceiveTimeout,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withLogger,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withHttp2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withoutHttp2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withUnixSocketConfig,1.0,0.0,7.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withoutUnixSocketConfig,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withAdditionalSocketOptions,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method withRequestLineParseErrorHandler,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,1,package server - class EmberServerBuilder - method build,5.0,19.0,69.0,69.0,0.0,0.0,31.0,4.0,14.0,4.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method build - <$anon: org.http4s.server.Ip4sServer> - method ip4sAddress,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - class EmberServerBuilder - method build - <$anon: org.http4s.server.Ip4sServer> - method isSecure,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,1,package server - object EmberServerBuilder - method default,1.0,0.0,22.0,22.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - object EmberServerBuilder - method default,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - object EmberServerBuilder - object Defaults - method httpApp,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package server - object EmberServerBuilder - object Defaults - method connectionErrorHandler,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package server - object EmberServerBuilder - object Defaults - method errorHandler,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.0,0.0
HEAD,0,package server - object EmberServerBuilder - object Defaults - method onError,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package server - object EmberServerBuilder - object Defaults - method requestLineParseErrorHandler,2.0,9.0,7.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,-0.0,0.0
HEAD,1,package server - object EmberServerBuilder - object Defaults - method onWriteFailure,2.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,-0.0,0.0
HEAD,1,package internal - object ServerHelpers - method server,1.0,0.0,51.0,49.0,2.0,0.0392156862745098,8.0,3.0,0.0,0.0,-0.0,0.0
HEAD,1,package internal - object ServerHelpers - method unixSocketServer,1.0,0.0,55.0,52.0,5.0,0.08771929824561403,10.0,3.0,0.0,0.0,-0.0,0.0
HEAD,1,package internal - object ServerHelpers - method serverInternal,8.0,12.0,133.0,119.0,12.0,0.0916030534351145,34.0,2.0,31.0,4.0,-0.0,0.0
