commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package http4s - package headers - class Allow,3.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package middleware - object StaticHeaders,8.0,0.0,8.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.5,2.5,0.0,0.0,-0.0,0.0
HEAD,0,package http4s - class UriTemplate,29.0,19.0,48.0,2.0,2.0,59.0,30.0,28.0,0.4827586206896552,0.0,29.0,11.0,1.375,0.0,4.375,3.75,0.0,0.0,-0.0,0.125
HEAD,0,package http4s - object UriTemplate,89.0,19.0,89.0,1.0,0.0,422.0,364.0,58.0,0.13744075829383887,0.0,90.0,148.0,6.7272727272727275,6.090909090909091,19.818181818181817,5.5,39.59090909090909,6.7727272727272725,-0.0,0.9545454545454546
HEAD,0,package http4s - object UriTemplate - trait PathDef,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - class PathElm,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - trait QueryDef,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - trait QueryExp,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - class ParamElm,5.0,2.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object ParamElm,9.0,2.0,10.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - class ParamVarExp,10.0,2.0,12.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object ParamVarExp,9.0,2.0,10.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - class ParamReservedExp,10.0,2.0,12.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - object ParamReservedExp,9.0,2.0,10.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - object UriTemplate - trait ExpansionType,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - trait FragmentDef,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - class FragmentElm,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - class SimpleFragmentExp,9.0,1.0,10.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object UriTemplate - class VarExp,10.0,2.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
