commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package controller - object Controller - object Data - class Init,5.0,4.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Data - class End,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - trait Command,0.0,15.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command,19.0,15.0,26.0,0.0,0.0,11.0,10.0,2.0,0.16666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command - class Start,5.0,3.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command - object RunTerminated,4.0,4.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command - class Crash,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command - class MaxDurationReached,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command - object StopInjector,4.0,4.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command - object StatsEngineStopped,4.0,4.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Command - object Kill,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package controller - class Controller,42.0,6.0,48.0,1.0,2.0,71.0,60.0,11.0,0.15492957746478872,0.0,24.0,17.0,6.0,12.0,24.0,13.0,16.0,3.0,-0.0,0.0
HEAD,1,package <empty> - object Dependencies,10.0,0.0,10.0,0.0,0.0,185.0,179.0,6.0,0.032432432432432434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package template - object SimulationTemplate,24.0,2.0,25.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,7.0,7.0,5.0,1.0,4.0,3.0,15.0,0.0,-0.0,1.0
HEAD,1,package template - class SimulationTemplate,38.0,2.0,40.0,0.0,1.0,179.0,97.0,1.0,0.01020408163265306,0.0,21.0,31.0,14.0,20.0,22.0,9.0,78.0,10.0,-0.0,1.0
HEAD,1,package <empty> - object Dependencies,10.0,0.0,10.0,0.0,0.0,185.0,179.0,6.0,0.032432432432432434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package <empty> - object Dependencies,10.0,0.0,10.0,0.0,0.0,185.0,179.0,6.0,0.032432432432432434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package <empty> - object Dependencies,10.0,0.0,10.0,0.0,0.0,185.0,179.0,6.0,0.032432432432432434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cookie - class CookieKey,3.0,4.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cookie - class StoredCookie,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cookie - object CookieJar,23.0,2.0,24.0,1.0,0.0,34.0,28.0,7.0,0.2,0.0,27.0,12.0,4.0,9.0,10.0,8.0,5.0,1.0,-0.0,1.0
