commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package util - class FastByteArrayInputStream - method markSupported,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - class FastByteArrayInputStream - method reset,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package util - class FastByteArrayInputStream - method close,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package util - class FastByteArrayInputStream - method mark,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package util - class FastByteArrayInputStream - method available,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package util - class FastByteArrayInputStream - method skip,2.0,0.0,11.0,11.0,0.0,0.0,5.0,4.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - class FastByteArrayInputStream - method read,2.0,0.0,8.0,8.0,0.0,0.0,5.0,5.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - class FastByteArrayInputStream - method read,3.0,0.0,9.0,9.0,0.0,0.0,8.0,6.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - object SseChecks - method toScalaCheck,7.0,8.0,13.0,13.0,0.0,0.0,10.0,5.0,37.0,1.0,-0.0,1.0
HEAD,0,package internal - object SseChecks - method toScalaChecks,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - object HttpUtils - method basicAuth,1.0,0.0,2.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,-0.0,1.0
HEAD,1,package util - object HttpUtils - method filterSupportedEncodings,1.0,0.0,5.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,-0.0,1.0
HEAD,1,package util - object HttpUtils - method containsIgnoreCase,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,1,package util - object HttpUtils - method getIgnoreCase,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - object HttpUtils - method isHttp2PseudoHeader,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package condition - object ScalaRandomSwitchOrElse - class Choices - method choices,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package condition - object ScalaRandomSwitchOrElse - class OrElse - method orElse,1.0,0.0,2.0,2.0,0.0,0.0,6.0,5.0,0.0,0.0,-0.0,1.0
HEAD,1,package stats - object LogFileReader - method apply,1.0,0.0,6.0,6.0,0.0,0.0,8.0,7.0,0.0,0.0,-0.0,1.0
HEAD,0,package stats - class LogFileReader - method read,1.0,0.0,12.0,12.0,0.0,0.0,14.0,12.0,0.0,0.0,-0.0,1.0
HEAD,0,package stats - class LogFileReader - method parseLogFile,1.0,0.0,2.0,2.0,0.0,0.0,8.0,5.0,0.0,0.0,-0.0,0.0
HEAD,3,package stats - class LogFileReader - method firstPass,10.0,11.0,50.0,49.0,1.0,0.02,66.0,26.0,72.0,5.0,-0.0,1.0
HEAD,0,package stats - class LogFileReader - method firstPass - method updateInjectStart,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package stats - class LogFileReader - method firstPass - method updateInjectEnd,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,4,package stats - class LogFileReader - method secondPass,7.0,3.0,29.0,29.0,0.0,0.0,24.0,19.0,29.0,4.0,-0.0,0.0
HEAD,0,package template - class StatsJsTemplate - method fieldName,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,7,package template - class StatsJsTemplate - method getOutput,2.0,0.0,70.0,17.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,3,package template - class StatsJsTemplate - method getOutput - method renderStats,1.0,0.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,1,package template - class StatsJsTemplate - method getOutput - method renderSubGroups,1.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,1,package template - class StatsJsTemplate - method getOutput - method renderSubRequests,1.0,0.0,7.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,1,package template - class StatsJsTemplate - method getOutput - method renderGroup,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,2,package structure - trait ConditionalStatements - method doIf,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package structure - trait ConditionalStatements - method equalityCondition,1.0,0.0,6.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0,-0.0,0.0
HEAD,1,package structure - trait ConditionalStatements - method doIfEquals,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package structure - trait ConditionalStatements - method doIfOrElse,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,-0.0,0.0
HEAD,1,package structure - trait ConditionalStatements - method doIfEqualsOrElse,1.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package structure - trait ConditionalStatements - method doIf,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,1,package structure - trait ConditionalStatements - method doSwitch,1.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package structure - trait ConditionalStatements - method doSwitchOrElse,1.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,-0.0,0.0
HEAD,0,package structure - trait ConditionalStatements - method doSwitch,2.0,8.0,2.0,2.0,0.0,0.0,6.0,6.0,6.0,2.0,-0.0,0.0
HEAD,3,package structure - trait ConditionalStatements - method randomSwitch,1.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package structure - trait ConditionalStatements - method randomSwitchOrElse,1.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package structure - trait ConditionalStatements - method randomSwitch,2.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0,6.0,2.0,-0.0,1.0
HEAD,1,package structure - trait ConditionalStatements - method uniformRandomSwitch,1.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,-0.0,1.0
HEAD,1,package structure - trait ConditionalStatements - method roundRobinSwitch,1.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - method configuration,2.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method nanoseconds,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method nanos,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method nanosecond,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method nano,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method microseconds,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method micros,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method microsecond,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method micro,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method milliseconds,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - object Predef - class DurationInteger - method millis,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
