commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package param - object ServiceParamJsonProtocol - method eitherFormat - <$anon: <error>>,17.0,0.0,17.0,1.0,2.0,11.0,11.0,0.0,0.0,0.0,4.0,7.0,7.0,11.0,12.0,8.0,19.0,4.0,-0.0,0.0
HEAD,0,package param - class JsonEncodableParam,3.0,5.0,8.0,0.0,2.0,12.0,10.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0
HEAD,0,package param - object ServiceParam,7.0,80.0,87.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package param - class ServiceParam,12.0,80.0,92.0,2.0,3.0,38.0,37.0,0.0,0.0,0.0,7.0,12.0,12.0,20.0,14.0,8.0,28.0,4.0,-0.0,4.0
HEAD,0,package param - class CognitiveServiceStructParam,8.0,1.0,9.0,2.0,2.0,10.0,10.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package causal - trait SyntheticDiffInDiffEstimatorParams,4.0,1.0,5.0,2.0,2.0,10.0,10.0,1.0,0.09090909090909091,1.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package causal - class SyntheticDiffInDiffEstimator,20.0,1.0,21.0,3.0,1.0,103.0,96.0,8.0,0.07692307692307693,0.0,4.0,4.0,4.0,3.0,132.0,8.0,32.0,10.0,-0.0,1.0
HEAD,0,package causal - object SyntheticDiffInDiffEstimator,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package params - trait LightGBMExecutionParams,7.0,1.0,8.0,3.0,41.0,124.0,122.0,0.0,0.0,1.0,42.0,41.0,41.0,0.0,41.0,41.0,0.0,0.0,-0.0,41.0
HEAD,0,package params - trait LightGBMDatasetParams,3.0,1.0,4.0,3.0,6.0,19.0,19.0,0.0,0.0,1.0,7.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,-0.0,6.0
HEAD,0,package params - trait LightGBMLearnerParams,5.0,1.0,6.0,3.0,14.0,35.0,35.0,0.0,0.0,1.0,15.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,-0.0,14.0
HEAD,0,package params - trait LightGBMBinParams,3.0,1.0,4.0,3.0,4.0,10.0,10.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package params - trait LightGBMDartParams,5.0,1.0,6.0,3.0,10.0,27.0,27.0,0.0,0.0,1.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,-0.0,10.0
HEAD,0,package params - trait LightGBMSlotParams,3.0,1.0,4.0,3.0,6.0,17.0,17.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,-0.0,6.0
HEAD,0,package params - trait LightGBMFractionParams,3.0,1.0,4.0,3.0,10.0,22.0,22.0,0.0,0.0,1.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,-0.0,10.0
HEAD,0,package params - trait LightGBMPredictionParams,3.0,4.0,7.0,3.0,6.0,18.0,18.0,0.0,0.0,4.0,7.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,-0.0,6.0
HEAD,0,package params - trait LightGBMModelParams,5.0,4.0,9.0,3.0,6.0,22.0,18.0,4.0,0.18181818181818182,4.0,8.0,7.0,7.0,0.0,6.0,6.0,0.0,0.0,-0.0,7.0
HEAD,0,package params - trait LightGBMObjectiveParams,4.0,1.0,5.0,3.0,4.0,13.0,13.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package params - trait LightGBMSeedParams,4.0,1.0,5.0,3.0,16.0,41.0,41.0,0.0,0.0,1.0,17.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,-0.0,16.0
HEAD,0,package params - trait LightGBMCategoricalParams,4.0,1.0,5.0,3.0,10.0,31.0,31.0,0.0,0.0,1.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,-0.0,10.0
HEAD,0,package params - trait LightGBMParams,25.0,1.0,26.0,4.0,41.0,144.0,144.0,0.0,0.0,1.0,44.0,42.0,42.0,0.0,42.0,42.0,0.0,0.0,-0.0,41.0
HEAD,0,package vw - class VowpalWabbitMurmurWithPrefix,15.0,1.0,16.0,1.0,1.0,59.0,53.0,9.0,0.14516129032258066,0.0,25.0,10.0,10.0,0.0,69.0,22.0,0.0,0.0,-0.0,2.0
HEAD,0,package policyeval - class CressieRead,20.0,1.0,21.0,1.0,6.0,63.0,60.0,2.0,0.03225806451612903,0.0,41.0,9.0,9.0,5.0,67.0,27.0,6.0,2.0,-0.0,6.0
HEAD,0,package policyeval - class CressieReadBuffer,4.0,1.0,5.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package policyeval - class CressieReadInput,3.0,2.0,5.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package text - trait TextFeaturizerParams,4.0,1.0,5.0,3.0,15.0,137.0,62.0,75.0,0.5474452554744526,1.0,16.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0,-0.0,15.0
HEAD,0,package text - object TextFeaturizer,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package text - class TextFeaturizer,20.0,2.0,22.0,4.0,21.0,173.0,153.0,16.0,0.09467455621301775,0.0,40.0,37.0,37.0,4.0,157.0,45.0,3.0,0.0,-0.0,22.0
HEAD,0,package explainers - object RowUtils,10.0,0.0,10.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package explainers - object RowUtils - class RowCanGetAsDouble,8.0,1.0,9.0,0.0,2.0,17.0,18.0,0.0,0.0,0.0,2.0,9.0,9.0,6.0,6.0,4.0,26.0,7.0,-0.0,2.0
HEAD,0,package lightgbm - class TaskInstrumentationMeasures,7.0,5.0,12.0,1.0,21.0,65.0,65.0,1.0,0.015151515151515152,0.0,35.0,32.0,32.0,0.0,58.0,53.0,0.0,0.0,-0.0,1.0
HEAD,0,package lightgbm - object InstrumentationMeasures,6.0,5.0,11.0,1.0,0.0,6.0,6.0,1.0,0.14285714285714285,0.0,4.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package lightgbm - class InstrumentationMeasures,14.0,5.0,18.0,1.0,25.0,57.0,57.0,0.0,0.0,0.0,54.0,36.0,36.0,0.0,54.0,52.0,0.0,0.0,-0.0,1.0
HEAD,0,package lightgbm - trait LightGBMPerformance,12.0,1.0,13.0,1.0,1.0,23.0,19.0,4.0,0.17391304347826086,1.0,15.0,5.0,5.0,0.0,14.0,12.0,0.0,0.0,-0.0,3.0
HEAD,0,package param - trait PythonPrinter,5.0,2.0,7.0,0.0,1.0,12.0,12.0,0.0,0.0,1.0,2.0,7.0,7.0,7.0,8.0,3.0,12.0,2.0,-0.0,0.0
HEAD,0,package param - object PythonPrinter,2.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package param - object PythonWrappableParam,7.0,6.0,13.0,0.0,0.0,11.0,12.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,5.0,5.0,0.0,0.0,-0.0,1.0
HEAD,0,package param - trait PythonWrappableParam,3.0,6.0,9.0,0.0,4.0,14.0,12.0,0.0,0.0,2.0,5.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,-0.0,4.0
HEAD,0,package param - trait ExternalPythonWrappableParam,3.0,1.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package explainers - object LIMEUtils,14.0,0.0,14.0,0.0,0.0,73.0,42.0,6.0,0.125,0.0,9.0,7.0,7.0,6.0,30.0,8.0,11.0,3.0,-0.0,2.0
HEAD,0,package explainers - object LIMEUtils - method randomMasks - <$anon: Iterator[Array[Boolean]]>,9.0,0.0,9.0,2.0,2.0,9.0,9.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,5.0,3.0,0.0,0.0,-0.0,2.0
HEAD,0,package explainers - trait LIMEParams,6.0,3.0,8.0,2.0,4.0,20.0,20.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package explainers - class LIMEBase,11.0,5.0,15.0,3.0,6.0,77.0,77.0,0.0,0.0,4.0,15.0,9.0,9.0,15.0,72.0,15.0,31.0,8.0,-0.0,6.0
HEAD,0,package featurize - object ValueIndexer,2.0,3.0,5.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package featurize - trait ValueIndexerParams,3.0,2.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package featurize - class NullOrdering,5.0,2.0,7.0,4.0,1.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,6.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package featurize - object NullOrdering,4.0,2.0,5.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package featurize - class ValueIndexer,19.0,3.0,21.0,4.0,4.0,43.0,34.0,7.0,0.17073170731707318,0.0,14.0,10.0,10.0,9.0,38.0,12.0,16.0,0.0,-0.0,3.0
HEAD,0,package featurize - class ValueIndexerModel,24.0,3.0,27.0,4.0,9.0,87.0,63.0,20.0,0.24096385542168675,0.0,32.0,27.0,27.0,6.0,54.0,24.0,109.0,11.0,-0.0,10.0
HEAD,0,package featurize - object ValueIndexerModel,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package explainers - trait TextSHAPParams,4.0,1.0,4.0,3.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package explainers - class TextSHAP,17.0,4.0,20.0,4.0,2.0,53.0,48.0,0.0,0.0,0.0,13.0,4.0,4.0,3.0,39.0,16.0,9.0,3.0,-0.0,2.0
HEAD,0,package explainers - object TextSHAP,2.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - object CondaPlugin,8.0,1.0,9.0,0.0,0.0,33.0,31.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0
HEAD,0,package <empty> - object CondaPlugin - object autoImport,2.0,7.0,9.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package featurizer - class StructFeaturizer,8.0,2.0,10.0,2.0,1.0,24.0,16.0,8.0,0.3333333333333333,1.0,4.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package featurizer - class NullableStructFeaturizer,6.0,1.0,7.0,3.0,1.0,10.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package schema - object DatasetExtensions,11.0,5.0,15.0,0.0,0.0,45.0,22.0,23.0,0.5111111111111111,0.0,15.0,3.0,3.0,0.0,12.0,10.0,0.0,0.0,-0.0,2.0
HEAD,0,package schema - object DatasetExtensions - class MMLDataFrame,4.0,1.0,5.0,0.0,2.0,27.0,10.0,17.0,0.6296296296296297,0.0,5.0,4.0,4.0,0.0,7.0,5.0,0.0,0.0,-0.0,2.0
HEAD,0,package env - object FileUtilities,40.0,3.0,43.0,0.0,0.0,74.0,69.0,8.0,0.1038961038961039,0.0,56.0,19.0,19.0,21.0,98.0,74.0,25.0,8.0,-0.0,4.0
HEAD,0,package env - object FileUtilities - object StandardOpenOption,3.0,1.0,4.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package streaming - class MultiChannelMap,14.0,2.0,16.0,0.0,2.0,48.0,45.0,1.0,0.021739130434782608,0.0,30.0,11.0,11.0,0.0,39.0,38.0,0.0,0.0,-0.0,6.0
HEAD,0,package streaming - class JVMSharedServer,35.0,1.0,36.0,0.0,5.0,97.0,88.0,3.0,0.03296703296703297,0.0,45.0,11.0,11.0,4.0,49.0,43.0,3.0,0.0,-0.0,2.0
HEAD,0,package streaming - class JVMSharedServer - class RequestHandler,10.0,1.0,11.0,1.0,1.0,17.0,17.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0,17.0,5.0,5.0,1.0,-0.0,0.0
HEAD,0,package streaming - class DistributedHTTPSource,17.0,2.0,19.0,1.0,6.0,91.0,82.0,9.0,0.0989010989010989,0.0,13.0,8.0,8.0,4.0,42.0,17.0,7.0,2.0,-0.0,4.0
HEAD,0,package streaming - class DistributedHTTPSourceProvider,20.0,0.0,20.0,0.0,3.0,42.0,39.0,3.0,0.07142857142857142,0.0,14.0,8.0,8.0,6.0,26.0,12.0,5.0,1.0,-0.0,3.0
HEAD,0,package streaming - class DistributedHTTPSink,14.0,3.0,17.0,1.0,4.0,34.0,32.0,2.0,0.058823529411764705,0.0,10.0,6.0,6.0,4.0,29.0,7.0,7.0,2.0,-0.0,2.0
HEAD,0,package streaming - class DistributedHTTPSinkProvider,4.0,0.0,4.0,0.0,2.0,9.0,9.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.0,2.0
HEAD,0,package streaming - object DistributedHTTPSink,6.0,3.0,8.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vw - class VowpalWabbitFeaturizer,52.0,1.0,53.0,3.0,9.0,168.0,150.0,14.0,0.08536585365853659,0.0,56.0,56.0,56.0,33.0,124.0,65.0,59.0,11.0,-0.0,18.0
HEAD,0,package vw - object VowpalWabbitFeaturizer,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package nn - class BoundedPriorityQueue,20.0,2.0,22.0,4.0,2.0,38.0,35.0,2.0,0.05405405405405406,0.0,21.0,9.0,9.0,0.0,19.0,18.0,0.0,0.0,-0.0,6.0
HEAD,0,package utils - object SlicerFunctions,13.0,0.0,13.0,0.0,0.0,47.0,35.0,12.0,0.2553191489361702,0.0,12.0,4.0,4.0,0.0,12.0,12.0,0.0,0.0,-0.0,3.0
HEAD,0,package speech - object SpeechAPI,12.0,0.0,12.0,0.0,0.0,26.0,26.0,2.0,0.07142857142857142,0.0,6.0,4.0,4.0,4.0,26.0,7.0,5.0,1.0,-0.0,1.0
HEAD,0,package param - trait DataFrameEquality,24.0,2.0,25.0,1.0,1.0,87.0,84.0,2.0,0.023255813953488372,1.0,13.0,2.0,2.0,0.0,6.0,4.0,0.0,0.0,-0.0,1.0
HEAD,0,package param - trait DataFrameEquality - <$anon: org.scalactic.Equality[Seq[_]]>,4.0,0.0,4.0,2.0,1.0,18.0,18.0,0.0,0.0,0.0,3.0,6.0,6.0,10.0,8.0,3.0,16.0,5.0,-0.0,1.0
HEAD,0,package param - trait DataFrameEquality - <$anon: org.scalactic.Equality[<error>]>,9.0,0.0,9.0,2.0,1.0,23.0,21.0,0.0,0.0,0.0,2.0,7.0,7.0,17.0,19.0,3.0,17.0,5.0,-0.0,0.0
HEAD,0,package param - class DataFrameParam,15.0,7.0,22.0,3.0,5.0,32.0,25.0,0.0,0.0,0.0,9.0,7.0,7.0,7.0,5.0,5.0,11.0,2.0,-0.0,4.0
HEAD,0,package text - object PageSplitter,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package text - class PageSplitter,34.0,1.0,35.0,3.0,9.0,68.0,67.0,0.0,0.0,0.0,46.0,15.0,15.0,18.0,82.0,44.0,25.0,5.0,-0.0,10.0
HEAD,0,package utils - object JarLoadingUtils,42.0,2.0,44.0,0.0,0.0,105.0,70.0,29.0,0.29292929292929293,0.0,57.0,15.0,15.0,20.0,79.0,58.0,12.0,3.0,-0.0,4.0
HEAD,0,package explainers - trait CanValidateSchema,1.0,8.0,9.0,0.0,1.0,3.0,4.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package explainers - trait HasMetricsCol,6.0,2.0,8.0,1.0,2.0,16.0,16.0,0.0,0.0,2.0,7.0,3.0,3.0,0.0,7.0,7.0,0.0,0.0,-0.0,2.0
HEAD,0,package explainers - trait HasModel,3.0,2.0,5.0,1.0,2.0,5.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package explainers - trait HasNumSamples,4.0,3.0,7.0,1.0,3.0,11.0,11.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,-0.0,3.0
HEAD,0,package explainers - trait HasTokensCol,2.0,2.0,4.0,1.0,2.0,9.0,9.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,2.0
