name,count,precision,recall,mcc
CommentDensity,8,23.827128753599343,44.92462436978985,0.266490165617832
CommentLinesOfCode,8,43.92857142857142,41.02642643849007,0.3713832702323583
CouplingBetweenObjects,8,34.46165109855792,59.871464152286066,0.3644487879231649
CyclomaticComplexity,8,25.5110324571491,56.4878961618092,0.3103104484618129
DepthOfInheritance,8,13.394131786145447,59.07501273790732,0.0889152391709645
DepthOfNesting,8,29.145745982968304,54.824539509808815,0.32056721529418963
FanIn,8,24.583768418610045,26.354787228074898,0.1058606213293111
FanOut,8,35.26065415138078,62.229274212023036,0.3643075291652754
LackOfCohesionInMethods,8,22.36773511766724,39.97734383428633,0.2136254528929433
LinesOfCode,8,41.79372635972349,60.124154523582554,0.4255567685583954
NumberOfChildren,8,12.120566343767518,26.20967741935484,0.03935337743461075
NumberOfPatternVariables,8,31.61625674778442,52.65686617081815,0.3497649893819498
OutDegree,8,30.498975840002036,57.821581229435104,0.3421984706813962
OutDegreeDistinct,8,25.640341577577537,62.6060918232418,0.3031339930943294
ParadigmEntropyFraction,8,0.0,0.0,0.0
ParadigmGiniFraction,8,14.272034794724231,73.61023230588447,0.1838434748650496
PatternSize,8,31.3243023411546,46.060794044665016,0.32856333446618935
ResponseForClass,8,37.32989068384929,60.13255639610168,0.40517574655254546
SourceLinesOfCode,8,41.96403596403596,60.38700994562414,0.46161050708542073
WeightedMethodCount,8,38.47237737381944,53.500147297098245,0.39276225441252677
