name,count,percentage_faulty,percentage_total_faults
CountCurrying,8,12.857142857142858,2.6845597959569245
CountFunctionCalls,9,15.68627450980392,5.970149253731343
CountFunctionParameters,9,7.910271546635183,5.3006329113924044
CountFunctions,9,12.363387978142075,46.55172413793103
CountHigherOrderCalls,9,12.478235635519445,43.96551724137931
CountInnerVariableAssignment,9,12.803532008830022,4.310344827586207
CountLazyValues,9,13.953488372093023,2.666666666666667
CountNestedDepth,9,6.741573033707865,2.848101265822785
CountNestedMethods,9,13.725490196078432,13.821138211382117
CountOuterVariableAssignment,9,4.166666666666666,0.8130081300813009
CountOuterVariableUsage,9,5.681818181818182,4.310344827586207
CountParameterLists,9,6.382978723404255,24.390243902439025
CountPatternMatching,9,16.13424989890821,32.52032520325203
CountRecursiveCalls,9,6.5420560747663545,2.092050209205021
CountSideEffectCalls,9,11.755146262188516,32.52032520325203
CountSideEffectFunctions,9,24.074074074074076,9.75609756097561
CountSideEffects,9,10.001464343242056,35.98326359832636
CountVariableDefinitions,9,16.707616707616708,2.666666666666667
CountVariables,9,12.413793103448276,9.832635983263598
FunctionalScoreCount,9,11.2889019377569,66.66666666666666
HasPointsCount,9,8.961376467425398,79.11392405063292
ImperativeScoreCount,9,9.576202118989404,36.40167364016737
IsFunction,9,2.380952380952381,1.1017498379779649
IsSideEffect,9,8.832997987927566,9.75609756097561
ParadigmScoreCount,9,6.458742632612966,52.71966527196653
