name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
FractionCurrying,7,32.57724382433279,28.238846614763453,2.2145906908994113,2.2744323630545207
FractionFunctionCalls,9,20.058602570343837,22.628465292247206,3.4180742021785813,5.08870098905942
FractionFunctions,9,27.625925874323624,18.819176302853254,27.803560362479637,14.196204218137355
FractionHigherOrderCalls,9,36.822419771676394,19.12285458522208,18.8336974783511,7.254971949856594
FractionInnerVariableAssignment,3,62.62626262626262,54.57350569389939,0.5327998381815654,0.7593826995855636
FractionLazyValues,7,39.18570475351503,28.781589625490383,4.1758475321485955,5.831604800886357
FractionNestedMethods,1,66.66666666666666,,0.2901353965183753,
FractionOuterVariableAssignment,6,35.324074074074076,33.986388282331006,1.795591644049706,2.7305623147330342
FractionOuterVariableUsage,8,24.96195528656074,26.32114625589322,4.440789879733257,6.9020062256571295
FractionPatternMatching,9,32.95759930015436,22.2322230013337,10.696762684287155,10.427094031039159
FractionRecursiveCalls,4,44.791666666666664,46.817093863008814,0.09139010039003323,0.09635295960363786
FractionSideEffectCalls,9,21.19924326319675,25.095198391459906,4.623665155448943,7.079509820758264
FractionSideEffectFunctions,6,32.41985068072024,41.501254080477544,0.5919459590791974,0.7663920567831135
FractionSideEffects,9,30.097445278355597,25.17362074751129,32.09368154075869,20.06574151077741
FractionVariables,8,24.95798048465627,26.320501108284066,4.440789879733257,6.9020062256571295
FunctionalScoreFraction,9,28.707514672417062,23.69380250422992,60.27916049355003,13.659155216906228
HasFunctionParameters,9,32.73175055137122,24.490352045252706,25.731140039187288,12.434448655501713
HasMultipleParameterLists,9,34.10564036517766,28.23349417185965,39.944454276161316,18.02830898186161
HasPointsFraction,9,27.040799268491114,23.34420491329633,69.25307908199221,13.445678618372643
ImperativeScoreFraction,9,29.90624420595893,25.098919601919157,32.53550125485647,20.51007347440818
IsFunction,9,22.623314060358936,20.931898999181595,7.503608189416612,6.833467204618157
IsNested,3,44.444444444444436,50.91750772173156,0.45012268469875605,0.5277418690923439
IsSideEffect,9,29.97997094936011,25.136834588861586,30.82347306391005,20.880731649451892
ParadigmScoreFraction,9,26.92140551460681,23.43748862254791,61.16256818515675,23.729738827027738
