name,count,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
CommentDensity,8,29.22223585173464,22.27819605417824,39.34300022606425,16.85847248151387,0.20179032914821704,0.07876589872970516
CommentLinesOfCode,8,39.002791934148085,20.63070002971291,38.62014971869572,13.34541377439771,0.28787021866939366,0.08359751220079423
CouplingBetweenObjects,8,31.58011085474261,17.994158623565017,56.135871969391445,7.796899359892962,0.2983548677608797,0.08153759393564791
CyclomaticComplexity,8,29.90340284103996,16.34748261907946,58.491558538821444,8.474564547550713,0.2896481309764746,0.06646683511417228
DepthOfInheritance,8,16.538607130397413,16.470883506107146,58.369136218287125,14.35515964583854,0.0755692392218389,0.09325571920910829
DepthOfNesting,8,34.513661441772086,22.878062626614245,40.01072161480732,8.567812679267753,0.25686266656851536,0.06467857086438498
FanIn,8,17.916221672856075,13.015401045192242,27.18657787387026,5.447442137541169,0.06450674117122085,0.055659508485106354
FanOut,8,33.303483055028735,19.209583321154057,59.98307860922952,5.302569135651951,0.3290173151693117,0.09121363196308464
LackOfCohesionInMethods,8,24.5201002571919,17.239289134294765,38.39091554707689,9.161064926921034,0.16844506960075023,0.0853330180810523
LinesOfCode,8,40.112087890619705,20.14385806930737,56.467889970787255,6.407866238887989,0.379681958813716,0.08694107947627808
NumberOfChildren,8,15.75291150759102,13.013210198847936,47.737624445239625,32.12094818493939,0.03581755159411054,0.04032920776578373
NumberOfPatternVariables,8,35.71522497802198,22.86541358503675,35.691670207092535,7.733798032261917,0.25059835999651126,0.06384208812598377
OutDegree,8,31.174297907136665,20.863225102495637,50.5377117580616,6.7142100532894675,0.273452045693508,0.09128814262954077
OutDegreeDistinct,8,27.645864189214443,18.813458026892913,59.79214395452854,4.750155044052409,0.2636950979837028,0.07542864452108612
ParadigmEntropyFraction,8,0.0,0.0,0.0,0.0,0.0,0.0
ParadigmGiniFraction,8,18.555121164794702,17.55645873404535,55.81437761310162,2.8327418231347448,0.11119949701873551,0.0698634820531235
PatternSize,8,34.78525575281627,22.58035951929694,36.766128856847565,8.728638500962683,0.24909830083857135,0.0686479604770735
ResponseForClass,8,35.070937023305305,18.057928033549253,58.816782601951296,6.337289706187867,0.3412930809163445,0.062063172941600346
SourceLinesOfCode,8,39.161793881254376,19.71561257127471,55.400536368298845,7.006669723496292,0.36812285984511783,0.08334348056766118
WeightedMethodCount,8,34.66866567211837,19.06615035268347,50.823269235698795,1.8489421288759533,0.3093565135954251,0.05864163652688053
