name,count,precision,recall,mcc
baseline,9,30.94059405940594,63.93596986817326,0.3367353348640451
control,9,39.31203931203931,89.65517241379311,0.5427246164431007
univariate,9,44.41340782122905,90.32258064516128,0.5841472273087687
